time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little
2025/05/23/15:05:06.070942,1,1748005506,70364475,,1000,113,143,50,95,52,80,37,62,1000,0,0,972,999,999,905,999,748,759,113,121
2025/05/23/15:05:06.080964,2,1748005506,80496072,,1000,113,142,50,95,51,79,37,61,1000,0,0,952,999,999,899,999,749,758,113,122
2025/05/23/15:05:06.090888,3,1748005506,90478181,,1000,112,130,46,80,47,59,35,49,1000,0,0,988,999,999,844,999,767,686,83,266
2025/05/23/15:05:06.100764,4,1748005506,100420951,,1000,112,129,46,80,48,59,35,49,1000,0,0,987,999,999,848,999,767,686,81,267
2025/05/23/15:05:06.110809,5,1748005506,110439777,,1000,112,129,46,80,48,59,35,49,1000,0,0,987,999,999,848,999,767,686,81,267
2025/05/23/15:05:06.121188,6,1748005506,120553493,,1000,112,129,46,80,47,59,35,49,1000,0,0,990,999,999,848,999,767,685,81,268
2025/05/23/15:05:06.130878,7,1748005506,130504369,,1000,112,129,46,80,47,59,35,49,1000,0,0,993,999,999,850,999,767,685,81,269
2025/05/23/15:05:06.140896,8,1748005506,140450954,,1000,112,129,46,80,47,59,35,49,1000,0,0,995,999,999,852,999,767,685,81,269
2025/05/23/15:05:06.151016,9,1748005506,150499582,,1000,112,129,46,80,47,59,35,49,1000,0,0,992,999,999,854,999,766,684,81,270
2025/05/23/15:05:06.161002,10,1748005506,160472154,,1000,112,129,46,80,48,58,35,49,1000,0,0,991,999,999,863,999,766,684,81,271
2025/05/23/15:05:06.171605,11,1748005506,170640707,,1000,112,129,46,80,47,58,35,49,1000,0,0,997,999,999,888,999,766,684,81,272
2025/05/23/15:05:06.180985,12,1748005506,180543661,,1000,112,129,46,80,47,58,35,49,1000,0,0,998,999,999,896,999,766,684,83,273
2025/05/23/15:05:06.190959,13,1748005506,190508842,,1000,112,129,46,80,47,58,35,48,1000,0,0,995,999,999,902,999,766,684,83,275
2025/05/23/15:05:06.200598,14,1748005506,200302362,,1000,112,129,46,80,47,58,35,48,1000,0,0,993,999,999,904,999,765,683,81,276
2025/05/23/15:05:06.210958,15,1748005506,210476875,,1000,112,129,46,80,47,58,35,48,1000,0,0,995,999,999,905,999,764,683,81,277
2025/05/23/15:05:06.220872,16,1748005506,220368385,,1000,112,129,46,79,47,58,35,48,1000,0,0,995,999,999,907,999,764,683,81,278
2025/05/23/15:05:06.230552,17,1748005506,230301856,,1000,112,129,46,79,47,58,35,48,1000,0,0,995,999,999,907,999,764,683,79,278
2025/05/23/15:05:06.240633,18,1748005506,240312576,,1000,112,129,46,79,47,58,35,48,1000,0,0,996,999,999,906,999,764,683,79,279
2025/05/23/15:05:06.250598,19,1748005506,250335216,,1000,112,129,46,79,47,58,35,48,1000,0,0,997,999,999,905,999,764,683,81,279
2025/05/23/15:05:06.260638,20,1748005506,260294437,,1000,112,129,46,79,47,58,35,48,1000,0,0,998,999,999,903,999,763,683,79,279
2025/05/23/15:05:06.270938,21,1748005506,270425796,,1000,112,129,46,79,47,58,35,48,1000,0,0,999,999,999,902,999,763,682,79,279
2025/05/23/15:05:06.280827,22,1748005506,280446290,,1000,112,129,46,79,47,58,35,48,1000,0,0,999,999,999,903,999,763,682,79,279
2025/05/23/15:05:06.290629,23,1748005506,290303468,,1000,112,130,46,79,47,58,35,48,1000,0,0,999,999,999,903,999,763,681,77,279
2025/05/23/15:05:06.300629,24,1748005506,300384521,,1000,112,130,46,79,47,58,35,48,1000,0,0,999,999,999,904,999,762,681,76,279
2025/05/23/15:05:06.310732,25,1748005506,310357332,,1000,112,130,46,79,47,58,35,48,1000,0,0,999,999,999,906,999,762,680,76,279
2025/05/23/15:05:06.320890,26,1748005506,320485115,,1000,112,130,46,79,47,58,35,48,1000,0,0,999,999,999,905,999,762,680,76,279
2025/05/23/15:05:06.330775,27,1748005506,330362081,,1000,112,130,46,79,46,58,35,48,1000,0,0,999,999,999,904,999,762,679,76,279
2025/05/23/15:05:06.340779,28,1748005506,340313434,,1000,112,130,46,79,46,58,35,48,1000,0,0,999,999,999,906,999,762,679,74,278
2025/05/23/15:05:06.350718,29,1748005506,350347757,,1000,112,130,46,78,46,58,35,48,1000,0,0,999,999,999,906,999,761,679,74,278
2025/05/23/15:05:06.360884,30,1748005506,360505342,,1000,112,130,46,78,46,58,35,48,1000,0,0,999,999,999,906,999,761,679,72,277
2025/05/23/15:05:06.371037,31,1748005506,370502471,,1000,112,130,46,78,46,57,35,48,1000,0,0,999,999,999,908,999,761,679,72,277
2025/05/23/15:05:06.380784,32,1748005506,380452632,,1000,112,130,46,78,46,57,35,48,1000,0,0,999,999,999,908,999,761,679,72,277
2025/05/23/15:05:06.390879,33,1748005506,390440225,,1000,112,131,46,78,46,57,35,47,1000,0,0,999,999,999,904,999,761,678,72,276
2025/05/23/15:05:06.400979,34,1748005506,400459051,,1000,112,130,46,78,46,57,35,47,1000,0,0,999,999,999,901,999,761,677,72,277
2025/05/23/15:05:06.410787,35,1748005506,410403251,,1000,112,131,46,78,46,57,35,47,1000,0,0,999,999,999,897,999,761,677,70,277
2025/05/23/15:05:06.420842,36,1748005506,420420646,,1000,112,130,46,78,46,57,35,47,1000,0,0,999,999,999,889,999,761,677,70,276
2025/05/23/15:05:06.430873,37,1748005506,430460214,,1000,112,130,46,78,46,57,35,47,1000,0,0,999,999,999,880,999,761,677,68,276
2025/05/23/15:05:06.440888,38,1748005506,440400123,,1000,112,130,46,77,45,57,35,47,1000,0,0,999,999,999,877,999,761,675,68,276
2025/05/23/15:05:06.450816,39,1748005506,450371980,,1000,111,130,46,77,45,57,35,47,1000,0,0,999,999,999,874,999,760,675,68,277
