time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little
2025/05/23/15:01:18.761971,1,1748005278,761399507,,1000,145,64,32,47,28,30,0,36,1000,0,0,968,999,999,999,999,748,780,417,0
2025/05/23/15:01:18.771603,2,1748005278,771185398,,1000,143,65,32,46,28,26,0,34,1000,0,0,965,999,999,999,999,731,777,399,0
2025/05/23/15:01:18.781621,3,1748005278,781110048,,1000,143,65,32,46,28,26,0,34,1000,0,0,965,999,999,999,999,731,777,399,0
2025/05/23/15:01:18.792430,4,1748005278,791668653,,1000,143,65,32,46,28,26,0,34,1000,0,0,969,999,999,999,999,731,777,399,0
2025/05/23/15:01:18.801990,5,1748005278,801436185,,1000,143,65,32,46,28,26,0,33,1000,0,0,974,999,999,999,999,731,777,399,0
2025/05/23/15:01:18.811635,6,1748005278,811211824,,1000,143,65,32,46,28,26,0,33,1000,0,0,978,999,999,999,999,731,777,397,0
2025/05/23/15:01:18.821730,7,1748005278,821324825,,1000,143,65,32,45,28,26,0,33,1000,0,0,980,999,999,999,999,730,777,397,0
2025/05/23/15:01:18.831722,8,1748005278,831280946,,1000,143,65,32,45,28,26,0,33,1000,0,0,980,999,999,999,999,730,777,397,0
2025/05/23/15:01:18.841735,9,1748005278,841317892,,1000,143,65,32,45,28,26,0,33,1000,0,0,980,999,999,999,999,730,777,397,0
2025/05/23/15:01:18.851806,10,1748005278,851340293,,1000,143,66,32,45,28,25,0,33,1000,0,0,980,999,999,999,999,730,777,397,0
2025/05/23/15:01:18.861771,11,1748005278,861352205,,1000,143,66,32,45,28,25,0,33,1000,0,0,979,999,999,999,999,730,777,397,0
2025/05/23/15:01:18.871492,12,1748005278,871163368,,1000,143,66,32,45,28,26,0,33,1000,0,0,980,999,999,999,999,730,777,397,0
2025/05/23/15:01:18.881544,13,1748005278,881147861,,1000,143,66,32,45,28,26,0,33,1000,0,0,983,999,999,999,999,730,777,397,0
