time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little
2025/05/23/14:58:38.653736,1,1748005118,653083801,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.663285,2,1748005118,662922859,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.673387,3,1748005118,672929286,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.683267,4,1748005118,682859182,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.693403,5,1748005118,693095445,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.703381,6,1748005118,703001022,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.713253,7,1748005118,712862730,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.723487,8,1748005118,722922801,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.733336,9,1748005118,732897281,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.743490,10,1748005118,743057012,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.753233,11,1748005118,752865552,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.763265,12,1748005118,762920141,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.773467,13,1748005118,772916316,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.783387,14,1748005118,782952785,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.793228,15,1748005118,792869806,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.803245,16,1748005118,802875280,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.813331,17,1748005118,812944889,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.823254,18,1748005118,822933197,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.833499,19,1748005118,832961797,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.843331,20,1748005118,842966318,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.853381,21,1748005118,852910041,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.863537,22,1748005118,863086700,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
2025/05/23/14:58:38.873367,23,1748005118,872949838,,1000,123,134,32,52,26,39,0,59,1000,0,0,990,999,999,999,999,794,644,378,0
