timestamp,joint_name,position,velocity,effort
1744647385.9539511,thumb_1,0.0,,
1744647385.9539511,thumb_2,35.0,,
1744647385.9539511,index_1,36.0,,
1744647385.9539511,index_2,10.0,,
1744647385.9539511,middle_1,89.0,,
1744647385.9539511,middle_2,1.0,,
1744647385.9539511,ring_1,0.0,,
1744647385.9539511,ring_2,1.0,,
1744647385.9539511,little_1,0.0,,
1744647385.9539511,little_2,0.0,,
1744647385.9539511,palm_arch,88.0,,
1744647385.9539511,thumb_crossover,192.0,,
1744647385.9539511,abd_thumb,0.0,,
1744647385.9539511,abd_index,0.0,,
1744647385.9539511,abd_ring,1.0,,
1744647385.9539511,abd_little,19.0,,
1744647385.9539511,press_thumb,255.0,,
1744647385.9539511,press_index,255.0,,
1744647385.9539511,press_middle,200.0,,
1744647385.9539511,press_ring,208.0,,
1744647385.9539511,press_little,255.0,,
1744647386.9512715,thumb_1,255.0,,
1744647386.9512715,thumb_2,6.0,,
1744647386.9512715,index_1,15.0,,
1744647386.9512715,index_2,0.0,,
1744647386.9512715,middle_1,0.0,,
1744647386.9512715,middle_2,4.0,,
1744647386.9512715,ring_1,32.0,,
1744647386.9512715,ring_2,255.0,,
1744647386.9512715,little_1,255.0,,
1744647386.9512715,little_2,253.0,,
1744647386.9512715,palm_arch,39.0,,
1744647386.9512715,thumb_crossover,0.0,,
1744647386.9512715,abd_thumb,0.0,,
1744647386.9512715,abd_index,93.0,,
1744647386.9512715,abd_ring,52.0,,
1744647386.9512715,abd_little,255.0,,
1744647386.9512715,press_thumb,255.0,,
1744647386.9512715,press_index,17.0,,
1744647386.9512715,press_middle,154.0,,
1744647386.9512715,press_ring,255.0,,
1744647386.9512715,press_little,255.0,,
1744647387.9566562,thumb_1,253.0,,
1744647387.9566562,thumb_2,157.0,,
1744647387.9566562,index_1,3.0,,
1744647387.9566562,index_2,232.0,,
1744647387.9566562,middle_1,0.0,,
1744647387.9566562,middle_2,173.0,,
1744647387.9566562,ring_1,0.0,,
1744647387.9566562,ring_2,0.0,,
1744647387.9566562,little_1,0.0,,
1744647387.9566562,little_2,121.0,,
1744647387.9566562,palm_arch,0.0,,
1744647387.9566562,thumb_crossover,91.0,,
1744647387.9566562,abd_thumb,0.0,,
1744647387.9566562,abd_index,143.0,,
1744647387.9566562,abd_ring,0.0,,
1744647387.9566562,abd_little,16.0,,
1744647387.9566562,press_thumb,0.0,,
1744647387.9566562,press_index,90.0,,
1744647387.9566562,press_middle,0.0,,
1744647387.9566562,press_ring,49.0,,
1744647387.9566562,press_little,3.0,,
1744647388.9521444,thumb_1,232.0,,
1744647388.9521444,thumb_2,0.0,,
1744647388.9521444,index_1,0.0,,
1744647388.9521444,index_2,2.0,,
1744647388.9521444,middle_1,238.0,,
1744647388.9521444,middle_2,0.0,,
1744647388.9521444,ring_1,23.0,,
1744647388.9521444,ring_2,3.0,,
1744647388.9521444,little_1,232.0,,
1744647388.9521444,little_2,3.0,,
1744647388.9521444,palm_arch,192.0,,
1744647388.9521444,thumb_crossover,3.0,,
1744647388.9521444,abd_thumb,231.0,,
1744647388.9521444,abd_index,3.0,,
1744647388.9521444,abd_ring,231.0,,
1744647388.9521444,abd_little,3.0,,
1744647388.9521444,press_thumb,231.0,,
1744647388.9521444,press_index,3.0,,
1744647388.9521444,press_middle,231.0,,
1744647388.9521444,press_ring,2.0,,
1744647388.9521444,press_little,195.0,,
1744647389.9518888,thumb_1,3.0,,
1744647389.9518888,thumb_2,8.0,,
1744647389.9518888,index_1,1.0,,
1744647389.9518888,index_2,34.0,,
1744647389.9518888,middle_1,1.0,,
1744647389.9518888,middle_2,41.0,,
1744647389.9518888,ring_1,3.0,,
1744647389.9518888,ring_2,27.0,,
1744647389.9518888,little_1,143.0,,
1744647389.9518888,little_2,35.0,,
1744647389.9518888,palm_arch,36.0,,
1744647389.9518888,thumb_crossover,10.0,,
1744647389.9518888,abd_thumb,89.0,,
1744647389.9518888,abd_index,1.0,,
1744647389.9518888,abd_ring,0.0,,
1744647389.9518888,abd_little,1.0,,
1744647389.9518888,press_thumb,0.0,,
1744647389.9518888,press_index,0.0,,
1744647389.9518888,press_middle,0.0,,
1744647389.9518888,press_ring,0.0,,
1744647389.9518888,press_little,0.0,,
1744647390.9511673,thumb_1,0.0,,
1744647390.9511673,thumb_2,5.0,,
1744647390.9511673,index_1,150.0,,
1744647390.9511673,index_2,255.0,,
1744647390.9511673,middle_1,255.0,,
1744647390.9511673,middle_2,207.0,,
1744647390.9511673,ring_1,49.0,,
1744647390.9511673,ring_2,255.0,,
1744647390.9511673,little_1,255.0,,
1744647390.9511673,little_2,4.0,,
1744647390.9511673,palm_arch,202.0,,
1744647390.9511673,thumb_crossover,0.0,,
1744647390.9511673,abd_thumb,0.0,,
1744647390.9511673,abd_index,3.0,,
1744647390.9511673,abd_ring,183.0,,
1744647390.9511673,abd_little,255.0,,
1744647390.9511673,press_thumb,255.0,,
1744647390.9511673,press_index,253.0,,
1744647390.9511673,press_middle,17.0,,
1744647390.9511673,press_ring,0.0,,
1744647390.9511673,press_little,0.0,,
1744647391.9521143,thumb_1,90.0,,
1744647391.9521143,thumb_2,203.0,,
1744647391.9521143,index_1,255.0,,
1744647391.9521143,index_2,255.0,,
1744647391.9521143,middle_1,16.0,,
1744647391.9521143,middle_2,172.0,,
1744647391.9521143,ring_1,255.0,,
1744647391.9521143,ring_2,255.0,,
1744647391.9521143,little_1,253.0,,
1744647391.9521143,little_2,153.0,,
1744647391.9521143,palm_arch,3.0,,
1744647391.9521143,thumb_crossover,232.0,,
1744647391.9521143,abd_thumb,0.0,,
1744647391.9521143,abd_index,172.0,,
1744647391.9521143,abd_ring,0.0,,
1744647391.9521143,abd_little,0.0,,
1744647391.9521143,press_thumb,0.0,,
1744647391.9521143,press_index,121.0,,
1744647391.9521143,press_middle,0.0,,
1744647391.9521143,press_ring,90.0,,
1744647391.9521143,press_little,0.0,,
1744647392.9525027,thumb_1,142.0,,
1744647392.9525027,thumb_2,0.0,,
1744647392.9525027,index_1,16.0,,
1744647392.9525027,index_2,0.0,,
1744647392.9525027,middle_1,90.0,,
1744647392.9525027,middle_2,0.0,,
1744647392.9525027,ring_1,49.0,,
1744647392.9525027,ring_2,3.0,,
1744647392.9525027,little_1,232.0,,
1744647392.9525027,little_2,0.0,,
1744647392.9525027,palm_arch,0.0,,
1744647392.9525027,thumb_crossover,2.0,,
1744647392.9525027,abd_thumb,238.0,,
1744647392.9525027,abd_index,0.0,,
1744647392.9525027,abd_ring,23.0,,
1744647392.9525027,abd_little,2.0,,
1744647392.9525027,press_thumb,154.0,,
1744647392.9525027,press_index,3.0,,
1744647392.9525027,press_middle,192.0,,
1744647392.9525027,press_ring,3.0,,
1744647392.9525027,press_little,231.0,,
1744647393.952355,thumb_1,3.0,,
1744647393.952355,thumb_2,231.0,,
1744647393.952355,index_1,3.0,,
1744647393.952355,index_2,231.0,,
1744647393.952355,middle_1,3.0,,
1744647393.952355,middle_2,231.0,,
1744647393.952355,ring_1,2.0,,
1744647393.952355,ring_2,195.0,,
1744647393.952355,little_1,3.0,,
1744647393.952355,little_2,8.0,,
1744647393.952355,palm_arch,1.0,,
1744647393.952355,thumb_crossover,34.0,,
1744647393.952355,abd_thumb,1.0,,
1744647393.952355,abd_index,40.0,,
1744647393.952355,abd_ring,3.0,,
1744647393.952355,abd_little,20.0,,
1744647393.952355,press_thumb,230.0,,
1744647393.952355,press_index,35.0,,
1744647393.952355,press_middle,36.0,,
1744647393.952355,press_ring,10.0,,
1744647393.952355,press_little,89.0,,
1744647394.9531398,thumb_1,1.0,,
1744647394.9531398,thumb_2,0.0,,
1744647394.9531398,index_1,1.0,,
1744647394.9531398,index_2,0.0,,
1744647394.9531398,middle_1,0.0,,
1744647394.9531398,middle_2,0.0,,
1744647394.9531398,ring_1,10.0,,
1744647394.9531398,ring_2,0.0,,
1744647394.9531398,little_1,0.0,,
1744647394.9531398,little_2,4.0,,
1744647394.9531398,palm_arch,205.0,,
1744647394.9531398,thumb_crossover,255.0,,
1744647394.9531398,abd_thumb,255.0,,
1744647394.9531398,abd_index,207.0,,
1744647394.9531398,abd_ring,45.0,,
1744647394.9531398,abd_little,255.0,,
1744647394.9531398,press_thumb,255.0,,
1744647394.9531398,press_index,4.0,,
1744647394.9531398,press_middle,199.0,,
1744647394.9531398,press_ring,0.0,,
1744647394.9531398,press_little,0.0,,
1744647395.9521015,thumb_1,3.0,,
1744647395.9521015,thumb_2,207.0,,
1744647395.9521015,index_1,0.0,,
1744647395.9521015,index_2,0.0,,
1744647395.9521015,middle_1,4.0,,
1744647395.9521015,middle_2,154.0,,
1744647395.9521015,ring_1,0.0,,
1744647395.9521015,ring_2,0.0,,
1744647395.9521015,little_1,149.0,,
1744647395.9521015,little_2,38.0,,
1744647395.9521015,palm_arch,255.0,,
1744647395.9521015,thumb_crossover,255.0,,
1744647395.9521015,abd_thumb,48.0,,
1744647395.9521015,abd_index,14.0,,
1744647395.9521015,abd_ring,255.0,,
1744647395.9521015,abd_little,255.0,,
1744647395.9521015,press_thumb,250.0,,
1744647395.9521015,press_index,207.0,,
1744647395.9521015,press_middle,3.0,,
1744647395.9521015,press_ring,232.0,,
1744647395.9521015,press_little,0.0,,
1744647396.9535449,thumb_1,172.0,,
1744647396.9535449,thumb_2,0.0,,
1744647396.9535449,index_1,0.0,,
1744647396.9535449,index_2,0.0,,
1744647396.9535449,middle_1,121.0,,
1744647396.9535449,middle_2,0.0,,
1744647396.9535449,ring_1,90.0,,
1744647396.9535449,ring_2,0.0,,
1744647396.9535449,little_1,142.0,,
1744647396.9535449,little_2,0.0,,
1744647396.9535449,palm_arch,16.0,,
1744647396.9535449,thumb_crossover,0.0,,
1744647396.9535449,abd_thumb,90.0,,
1744647396.9535449,abd_index,0.0,,
1744647396.9535449,abd_ring,49.0,,
1744647396.9535449,abd_little,3.0,,
1744647396.9535449,press_thumb,232.0,,
1744647396.9535449,press_index,0.0,,
1744647396.9535449,press_middle,0.0,,
1744647396.9535449,press_ring,2.0,,
1744647396.9535449,press_little,238.0,,
1744647397.9520516,thumb_1,0.0,,
1744647397.9520516,thumb_2,23.0,,
1744647397.9520516,index_1,2.0,,
1744647397.9520516,index_2,154.0,,
1744647397.9520516,middle_1,3.0,,
1744647397.9520516,middle_2,192.0,,
1744647397.9520516,ring_1,3.0,,
1744647397.9520516,ring_2,231.0,,
1744647397.9520516,little_1,3.0,,
1744647397.9520516,little_2,231.0,,
1744647397.9520516,palm_arch,3.0,,
1744647397.9520516,thumb_crossover,231.0,,
1744647397.9520516,abd_thumb,3.0,,
1744647397.9520516,abd_index,231.0,,
1744647397.9520516,abd_ring,2.0,,
1744647397.9520516,abd_little,195.0,,
1744647397.9520516,press_thumb,3.0,,
1744647397.9520516,press_index,8.0,,
1744647397.9520516,press_middle,1.0,,
1744647397.9520516,press_ring,34.0,,
1744647397.9520516,press_little,1.0,,
1744647398.9526646,thumb_1,40.0,,
1744647398.9526646,thumb_2,3.0,,
1744647398.9526646,index_1,30.0,,
1744647398.9526646,index_2,30.0,,
1744647398.9526646,middle_1,35.0,,
1744647398.9526646,middle_2,36.0,,
1744647398.9526646,ring_1,10.0,,
1744647398.9526646,ring_2,89.0,,
1744647398.9526646,little_1,1.0,,
1744647398.9526646,little_2,0.0,,
1744647398.9526646,palm_arch,1.0,,
1744647398.9526646,thumb_crossover,0.0,,
1744647398.9526646,abd_thumb,0.0,,
1744647398.9526646,abd_index,0.0,,
1744647398.9526646,abd_ring,20.0,,
1744647398.9526646,abd_little,0.0,,
1744647398.9526646,press_thumb,0.0,,
1744647398.9526646,press_index,4.0,,
1744647398.9526646,press_middle,47.0,,
1744647398.9526646,press_ring,255.0,,
1744647398.9526646,press_little,255.0,,
