timestamp,joint_name,position,velocity,effort
1744648704.1578007,thumb_1,0.0,,
1744648704.1578007,thumb_2,0.0,,
1744648704.1578007,index_1,2.0,,
1744648704.1578007,index_2,154.0,,
1744648704.1578007,middle_1,3.0,,
1744648704.1578007,middle_2,231.0,,
1744648704.1578007,ring_1,3.0,,
1744648704.1578007,ring_2,231.0,,
1744648704.1578007,little_1,3.0,,
1744648704.1578007,little_2,230.0,,
1744648704.1578007,palm_arch,3.0,,
1744648704.1578007,thumb_crossover,184.0,,
1744648704.1578007,abd_thumb,3.0,,
1744648704.1578007,abd_index,231.0,,
1744648704.1578007,abd_ring,1.0,,
1744648704.1578007,abd_little,93.0,,
1744648704.1578007,press_thumb,2.0,,
1744648704.1578007,press_index,96.0,,
1744648704.1578007,press_middle,0.0,,
1744648704.1578007,press_ring,0.0,,
1744648704.1578007,press_little,0.0,,
1744648704.1810527,thumb_1,96.0,,
1744648704.1810527,thumb_2,3.0,,
1744648704.1810527,index_1,30.0,,
1744648704.1810527,index_2,80.0,,
1744648704.1810527,middle_1,35.0,,
1744648704.1810527,middle_2,36.0,,
1744648704.1810527,ring_1,10.0,,
1744648704.1810527,ring_2,89.0,,
1744648704.1810527,little_1,1.0,,
1744648704.1810527,little_2,0.0,,
1744648704.1810527,palm_arch,1.0,,
1744648704.1810527,thumb_crossover,0.0,,
1744648704.1810527,abd_thumb,0.0,,
1744648704.1810527,abd_index,0.0,,
1744648704.1810527,abd_ring,20.0,,
1744648704.1810527,abd_little,0.0,,
1744648704.1810527,press_thumb,0.0,,
1744648704.1810527,press_index,120.0,,
1744648704.1810527,press_middle,251.0,,
1744648704.1810527,press_ring,255.0,,
1744648704.1810527,press_little,255.0,,
1744648704.2013526,thumb_1,225.0,,
1744648704.2013526,thumb_2,61.0,,
1744648704.2013526,index_1,0.0,,
1744648704.2013526,index_2,0.0,,
1744648704.2013526,middle_1,214.0,,
1744648704.2013526,middle_2,222.0,,
1744648704.2013526,ring_1,255.0,,
1744648704.2013526,ring_2,255.0,,
1744648704.2013526,little_1,194.0,,
1744648704.2013526,little_2,125.0,,
1744648704.2013526,palm_arch,0.0,,
1744648704.2013526,thumb_crossover,0.0,,
1744648704.2013526,abd_thumb,106.0,,
1744648704.2013526,abd_index,180.0,,
1744648704.2013526,abd_ring,255.0,,
1744648704.2013526,abd_little,255.0,,
1744648704.2013526,press_thumb,72.0,,
1744648704.2013526,press_index,42.0,,
1744648704.2013526,press_middle,0.0,,
1744648704.2013526,press_ring,0.0,,
1744648704.2013526,press_little,137.0,,
1744648704.2183328,thumb_1,211.0,,
1744648704.2183328,thumb_2,0.0,,
1744648704.2183328,index_1,0.0,,
1744648704.2183328,index_2,36.0,,
1744648704.2183328,middle_1,214.0,,
1744648704.2183328,middle_2,3.0,,
1744648704.2183328,ring_1,232.0,,
1744648704.2183328,ring_2,0.0,,
1744648704.2183328,little_1,189.0,,
1744648704.2183328,little_2,2.0,,
1744648704.2183328,palm_arch,100.0,,
1744648704.2183328,thumb_crossover,0.0,,
1744648704.2183328,abd_thumb,32.0,,
1744648704.2183328,abd_index,1.0,,
1744648704.2183328,abd_ring,243.0,,
1744648704.2183328,abd_little,0.0,,
1744648704.2183328,press_thumb,157.0,,
1744648704.2183328,press_index,2.0,,
1744648704.2183328,press_middle,119.0,,
1744648704.2183328,press_ring,0.0,,
1744648704.2183328,press_little,30.0,,
1744648704.237919,thumb_1,2.0,,
1744648704.237919,thumb_2,59.0,,
1744648704.237919,index_1,3.0,,
1744648704.237919,index_2,232.0,,
1744648704.237919,middle_1,0.0,,
1744648704.237919,middle_2,71.0,,
1744648704.237919,ring_1,2.0,,
1744648704.237919,ring_2,238.0,,
1744648704.237919,little_1,0.0,,
1744648704.237919,little_2,0.0,,
1744648704.237919,palm_arch,2.0,,
1744648704.237919,thumb_crossover,154.0,,
1744648704.237919,abd_thumb,3.0,,
1744648704.237919,abd_index,231.0,,
1744648704.237919,abd_ring,3.0,,
1744648704.237919,abd_little,231.0,,
1744648704.237919,press_thumb,3.0,,
1744648704.237919,press_index,230.0,,
1744648704.237919,press_middle,3.0,,
1744648704.237919,press_ring,184.0,,
1744648704.237919,press_little,3.0,,
1744648704.2603576,thumb_1,231.0,,
1744648704.2603576,thumb_2,1.0,,
1744648704.2603576,index_1,93.0,,
1744648704.2603576,index_2,2.0,,
1744648704.2603576,middle_1,96.0,,
1744648704.2603576,middle_2,0.0,,
1744648704.2603576,ring_1,0.0,,
1744648704.2603576,ring_2,0.0,,
1744648704.2603576,little_1,96.0,,
1744648704.2603576,little_2,3.0,,
1744648704.2603576,palm_arch,43.0,,
1744648704.2603576,thumb_crossover,2.0,,
1744648704.2603576,abd_thumb,35.0,,
1744648704.2603576,abd_index,36.0,,
1744648704.2603576,abd_ring,10.0,,
1744648704.2603576,abd_little,89.0,,
1744648704.2603576,press_thumb,1.0,,
1744648704.2603576,press_index,0.0,,
1744648704.2603576,press_middle,1.0,,
1744648704.2603576,press_ring,0.0,,
1744648704.2603576,press_little,0.0,,
1744648704.280458,thumb_1,0.0,,
1744648704.280458,thumb_2,30.0,,
1744648704.280458,index_1,0.0,,
1744648704.280458,index_2,0.0,,
1744648704.280458,middle_1,120.0,,
1744648704.280458,middle_2,50.0,,
1744648704.280458,ring_1,255.0,,
1744648704.280458,ring_2,255.0,,
1744648704.280458,little_1,224.0,,
1744648704.280458,little_2,85.0,,
1744648704.280458,palm_arch,0.0,,
1744648704.280458,thumb_crossover,0.0,,
1744648704.280458,abd_thumb,214.0,,
1744648704.280458,abd_index,212.0,,
1744648704.280458,abd_ring,255.0,,
1744648704.280458,abd_little,255.0,,
1744648704.280458,press_thumb,193.0,,
1744648704.280458,press_index,73.0,,
1744648704.280458,press_middle,0.0,,
1744648704.280458,press_ring,0.0,,
1744648704.280458,press_little,106.0,,
1744648704.3003774,thumb_1,180.0,,
1744648704.3003774,thumb_2,255.0,,
1744648704.3003774,index_1,255.0,,
1744648704.3003774,index_2,72.0,,
