timestamp,joint_name,position,velocity,effort
1744647759.4649243,thumb_1,0.0,,
1744647759.4649243,thumb_2,198.0,,
1744647759.4649243,index_1,1.0,,
1744647759.4649243,index_2,21.0,,
1744647759.4649243,middle_1,0.0,,
1744647759.4649243,middle_2,85.0,,
1744647759.4649243,ring_1,0.0,,
1744647759.4649243,ring_2,210.0,,
1744647759.4649243,little_1,3.0,,
1744647759.4649243,little_2,232.0,,
1744647759.4649243,palm_arch,0.0,,
1744647759.4649243,thumb_crossover,1.0,,
1744647759.4649243,abd_thumb,3.0,,
1744647759.4649243,abd_index,232.0,,
1744647759.4649243,abd_ring,0.0,,
1744647759.4649243,abd_little,0.0,,
1744647759.4649243,press_thumb,3.0,,
1744647759.4649243,press_index,232.0,,
1744647759.4649243,press_middle,3.0,,
1744647759.4649243,press_ring,215.0,,
1744647759.4649243,press_little,3.0,,
1744647759.4844546,thumb_1,231.0,,
1744647759.4844546,thumb_2,3.0,,
1744647759.4844546,index_1,231.0,,
1744647759.4844546,index_2,3.0,,
1744647759.4844546,middle_1,231.0,,
1744647759.4844546,middle_2,3.0,,
1744647759.4844546,ring_1,231.0,,
1744647759.4844546,ring_2,1.0,,
1744647759.4844546,little_1,254.0,,
1744647759.4844546,little_2,2.0,,
1744647759.4844546,palm_arch,231.0,,
1744647759.4844546,thumb_crossover,1.0,,
1744647759.4844546,abd_thumb,65.0,,
1744647759.4844546,abd_index,1.0,,
1744647759.4844546,abd_ring,47.0,,
1744647759.4844546,abd_little,3.0,,
1744647759.4844546,press_thumb,33.0,,
1744647759.4844546,press_index,148.0,,
1744647759.4844546,press_middle,35.0,,
1744647759.4844546,press_ring,36.0,,
1744647759.4844546,press_little,10.0,,
1744647759.5046933,thumb_1,89.0,,
1744647759.5046933,thumb_2,1.0,,
1744647759.5046933,index_1,0.0,,
1744647759.5046933,index_2,1.0,,
1744647759.5046933,middle_1,0.0,,
1744647759.5046933,middle_2,0.0,,
1744647759.5046933,ring_1,0.0,,
1744647759.5046933,ring_2,10.0,,
1744647759.5046933,little_1,255.0,,
1744647759.5046933,little_2,255.0,,
1744647759.5046933,palm_arch,113.0,,
1744647759.5046933,thumb_crossover,186.0,,
1744647759.5046933,abd_thumb,0.0,,
1744647759.5046933,abd_index,0.0,,
1744647759.5046933,abd_ring,132.0,,
1744647759.5046933,abd_little,134.0,,
1744647759.5046933,press_thumb,255.0,,
1744647759.5046933,press_index,255.0,,
1744647759.5046933,press_middle,174.0,,
1744647759.5046933,press_ring,192.0,,
1744647759.5046933,press_little,0.0,,
1744647759.524578,thumb_1,0.0,,
1744647759.524578,thumb_2,145.0,,
1744647759.524578,index_1,91.0,,
1744647759.524578,index_2,0.0,,
1744647759.524578,middle_1,0.0,,
1744647759.524578,middle_2,201.0,,
1744647759.524578,ring_1,217.0,,
1744647759.524578,ring_2,255.0,,
1744647759.524578,little_1,255.0,,
1744647759.524578,little_2,251.0,,
1744647759.524578,palm_arch,159.0,,
1744647759.524578,thumb_crossover,255.0,,
1744647759.524578,abd_thumb,255.0,,
1744647759.524578,abd_index,106.0,,
1744647759.524578,abd_ring,11.0,,
