time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object
2025/05/23/16:50:55.081080,1,1748011855,80679655,,1000,514,903,396,748,658,784,349,453,1000,145,0,917,999,999,999,999,384,541,183,73,0,1
2025/05/23/16:50:55.091024,2,1748011855,90582370,,1000,513,902,389,746,654,782,345,449,1000,138,0,916,999,999,999,999,382,537,181,71,0,1
2025/05/23/16:50:55.101307,3,1748011855,100663185,,1000,513,902,389,746,654,783,346,449,1000,138,0,916,999,999,999,999,382,536,179,71,0,1
2025/05/23/16:50:55.111059,4,1748011855,110645771,,1000,513,902,389,746,654,783,345,449,1000,138,0,916,999,999,999,999,382,537,181,71,0,1
2025/05/23/16:50:55.120966,5,1748011855,120528459,,1000,513,902,388,746,654,783,345,449,1000,138,0,916,999,999,999,999,381,536,181,71,0,1
2025/05/23/16:50:55.131188,6,1748011855,130640268,,1000,513,902,388,746,654,783,345,449,1000,138,0,916,999,999,999,999,381,536,181,71,0,1
2025/05/23/16:50:55.140962,7,1748011855,140603542,,1000,513,902,388,746,654,782,345,449,1000,138,0,915,999,999,999,999,381,536,181,71,0,1
2025/05/23/16:50:55.151309,8,1748011855,150695085,,1000,513,902,388,745,654,782,345,449,1000,138,0,915,999,999,999,999,381,536,179,71,0,1
2025/05/23/16:50:55.161101,9,1748011855,160645723,,1000,513,901,388,745,653,783,345,449,1000,138,0,916,999,999,999,999,381,536,181,71,0,1
2025/05/23/16:50:55.170962,10,1748011855,170602083,,1000,513,901,388,746,653,782,345,449,1000,138,0,916,999,999,999,999,381,536,181,71,0,1
2025/05/23/16:50:55.181054,11,1748011855,180687665,,1000,513,901,388,746,653,782,345,449,1000,137,0,916,999,999,999,999,381,537,181,70,0,1
2025/05/23/16:50:55.191116,12,1748011855,190681934,,1000,513,901,388,746,653,782,345,449,1000,138,0,916,999,999,999,999,381,536,181,71,0,1
2025/05/23/16:50:55.201216,13,1748011855,200578451,,1000,513,901,388,746,653,782,345,449,1000,138,0,916,999,999,999,999,381,536,181,71,0,1
2025/05/23/16:50:55.210994,14,1748011855,210553884,,1000,513,902,388,746,653,782,345,449,1000,137,0,916,999,999,999,999,381,536,181,71,0,1
