time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object
2025/05/23/16:29:45.895966,2,1748010585,895558357,,1000,249,164,52,22,16,43,35,23,1000,18,11,930,999,999,999,999,772,721,393,312,1,1
2025/05/23/16:29:45.906277,3,1748010585,905746221,,1000,249,164,52,22,16,43,35,23,1000,18,11,930,999,999,999,999,772,721,393,312,1,1
2025/05/23/16:29:45.916485,4,1748010585,915893554,,1000,249,164,52,22,16,43,35,23,1000,18,11,930,999,999,999,999,772,720,393,311,1,1
2025/05/23/16:29:45.926386,5,1748010585,925945520,,1000,249,164,52,22,16,43,35,23,1000,19,10,930,999,999,999,999,772,720,395,311,1,1
2025/05/23/16:29:45.936232,6,1748010585,935841560,,1000,249,164,52,22,16,42,35,24,1000,21,10,930,999,999,999,999,772,720,393,310,1,1
2025/05/23/16:29:45.946337,7,1748010585,945906639,,1000,249,164,52,22,16,42,35,24,1000,21,10,930,999,999,999,999,772,720,393,310,1,1
2025/05/23/16:29:45.956226,8,1748010585,955825567,,1000,249,165,52,22,16,42,35,23,1000,22,10,929,999,999,999,999,772,719,395,308,1,1
2025/05/23/16:29:45.966210,9,1748010585,965808868,,1000,249,165,52,22,16,42,35,23,1000,23,9,928,999,999,999,999,772,719,395,308,1,1
2025/05/23/16:29:45.976480,10,1748010585,975938796,,1000,249,165,52,22,16,42,35,23,1000,24,9,928,999,999,999,999,772,718,395,307,1,1
2025/05/23/16:29:45.986167,11,1748010585,985811471,,1000,249,165,52,22,16,42,35,23,1000,25,8,928,999,999,999,999,772,718,395,306,1,1
2025/05/23/16:29:45.996353,12,1748010585,995950222,,1000,249,165,52,22,16,42,35,23,1000,26,8,929,999,999,999,999,772,718,395,306,1,1
2025/05/23/16:29:46.006421,13,1748010586,5926609,,1000,249,165,52,22,16,42,35,23,1000,28,8,929,999,999,999,999,772,718,393,306,1,1
2025/05/23/16:29:46.016463,14,1748010586,15879631,,1000,249,165,52,22,16,41,35,23,1000,28,8,928,999,999,999,999,771,718,395,305,1,1
2025/05/23/16:29:46.026398,15,1748010586,25939464,,1000,249,165,52,22,16,41,35,23,1000,30,8,928,999,999,999,999,771,717,395,305,1,1
2025/05/23/16:29:46.036222,16,1748010586,35887718,,1000,249,165,52,22,16,41,35,23,1000,31,7,928,999,999,999,999,771,717,397,305,1,1
2025/05/23/16:29:46.046190,17,1748010586,45764923,,1000,249,165,52,22,16,41,35,23,1000,33,7,926,999,999,999,999,771,717,397,304,1,1
2025/05/23/16:29:46.056295,18,1748010586,55778026,,1000,249,165,52,22,16,41,35,23,1000,35,6,925,999,999,999,999,771,717,397,304,1,1
2025/05/23/16:29:46.066201,19,1748010586,65773248,,1000,249,165,52,22,16,41,35,23,1000,36,6,925,999,999,999,999,771,716,397,303,1,1
2025/05/23/16:29:46.076367,20,1748010586,75824022,,1000,249,166,52,22,16,41,35,23,1000,38,6,925,999,999,999,999,771,716,397,303,1,1
2025/05/23/16:29:46.086115,21,1748010586,85769891,,1000,249,166,52,22,16,41,35,23,1000,39,6,925,999,999,999,999,771,716,399,303,1,1
2025/05/23/16:29:46.096240,22,1748010586,95767498,,1000,249,166,52,22,16,41,36,23,1000,40,6,925,999,999,999,999,771,715,397,302,1,1
2025/05/23/16:29:46.106146,23,1748010586,105796575,,1000,249,166,52,23,16,41,36,22,1000,41,5,926,999,999,999,999,770,715,399,302,1,1
2025/05/23/16:29:46.116135,24,1748010586,115729093,,1000,249,166,52,23,16,41,36,22,1000,42,5,927,999,999,999,999,770,714,399,302,1,1
2025/05/23/16:29:46.126165,25,1748010586,125754117,,1000,249,166,52,23,16,41,36,22,1000,43,5,930,999,999,999,999,770,714,399,302,1,1
2025/05/23/16:29:46.136027,26,1748010586,135729551,,1000,249,166,52,22,16,40,36,22,1000,43,5,930,999,999,999,999,770,713,399,302,1,1
2025/05/23/16:29:46.146112,27,1748010586,145712852,,1000,249,166,52,22,16,40,36,22,1000,43,5,930,999,999,999,999,770,713,399,302,1,1
2025/05/23/16:29:46.155965,28,1748010586,155686140,,1000,249,166,52,22,16,40,37,22,1000,43,4,927,999,999,999,999,770,713,399,302,1,1
2025/05/23/16:29:46.166038,29,1748010586,165710449,,1000,249,166,52,22,16,40,37,22,1000,42,4,927,999,999,999,999,770,713,399,302,1,1
2025/05/23/16:29:46.176267,30,1748010586,175809860,,1000,249,166,52,22,16,40,37,22,1000,42,4,927,999,999,999,999,770,713,399,302,1,1
2025/05/23/16:29:46.185977,31,1748010586,185704469,,1000,249,166,52,22,16,40,36,22,1000,41,4,927,999,999,999,999,770,712,399,300,1,1
2025/05/23/16:29:46.196173,32,1748010586,195722579,,1000,249,166,52,22,16,40,36,22,1000,41,3,926,999,999,999,999,769,712,399,300,1,1
2025/05/23/16:29:46.206144,33,1748010586,205778837,,1000,249,166,52,22,16,40,36,22,1000,40,3,926,999,999,999,999,769,712,399,300,1,1
2025/05/23/16:29:46.216196,34,1748010586,215814352,,1000,249,166,52,22,16,40,36,22,1000,40,3,926,999,999,999,999,769,712,397,300,1,1
2025/05/23/16:29:46.226177,35,1748010586,225780963,,1000,249,166,52,22,16,40,36,22,1000,40,2,926,999,999,999,999,769,711,397,299,1,1
2025/05/23/16:29:46.236031,36,1748010586,235736846,,1000,249,166,52,22,16,40,36,22,1000,39,2,925,999,999,999,999,769,711,399,299,1,1
2025/05/23/16:29:46.246202,37,1748010586,245733976,,1000,249,166,52,22,16,40,36,22,1000,39,2,925,999,999,999,999,769,710,399,298,1,1
2025/05/23/16:29:46.256073,38,1748010586,255714654,,1000,249,165,52,22,16,40,36,22,1000,38,2,920,999,999,999,999,769,711,399,297,1,1
2025/05/23/16:29:46.266185,39,1748010586,265731096,,1000,249,165,52,22,16,39,36,22,1000,37,2,913,999,999,999,999,769,710,399,297,1,1
2025/05/23/16:29:46.276232,40,1748010586,275744915,,1000,249,165,52,22,16,39,36,22,1000,37,2,905,999,999,999,999,769,710,399,297,1,1
2025/05/23/16:29:46.286146,41,1748010586,285749673,,1000,249,165,52,22,16,39,36,22,1000,36,2,905,999,999,999,999,769,709,399,297,1,1
2025/05/23/16:29:46.296027,42,1748010586,295715093,,1000,249,165,52,22,16,39,36,21,1000,35,2,904,999,999,999,999,768,709,401,296,1,1
2025/05/23/16:29:46.306147,43,1748010586,305752515,,1000,249,165,52,22,16,39,36,21,1000,34,1,904,999,999,999,999,768,710,399,297,1,1
2025/05/23/16:29:46.316040,44,1748010586,315722227,,1000,249,165,52,22,16,39,36,21,1000,32,1,904,999,999,999,999,768,710,399,296,1,1
2025/05/23/16:29:46.326084,45,1748010586,325740814,,1000,249,165,52,22,16,39,36,22,1000,31,1,904,999,999,999,999,768,710,399,295,1,1
2025/05/23/16:29:46.336188,46,1748010586,335826873,,1000,249,165,52,22,16,39,36,21,1000,30,1,905,999,999,999,999,768,710,401,295,1,1
2025/05/23/16:29:46.346097,47,1748010586,345742940,,1000,249,165,52,22,16,39,36,21,1000,29,1,905,999,999,999,999,768,709,401,295,1,1
2025/05/23/16:29:46.356242,48,1748010586,355698108,,1000,249,165,52,22,16,39,36,21,1000,28,0,906,999,999,999,999,768,709,401,295,1,1
2025/05/23/16:29:46.366184,49,1748010586,365730524,,1000,249,165,52,22,16,39,35,21,1000,27,0,906,999,999,999,999,768,709,401,295,1,1
2025/05/23/16:29:46.376217,50,1748010586,375749826,,1000,249,165,52,22,16,39,35,21,1000,25,0,906,999,999,999,999,768,709,401,295,1,1
2025/05/23/16:29:46.386016,51,1748010586,385683059,,1000,249,164,52,22,16,39,35,21,1000,24,0,905,999,999,999,999,768,709,401,294,1,1
2025/05/23/16:29:46.396465,52,1748010586,395818471,,1000,249,165,52,22,16,39,35,21,1000,22,0,905,999,999,999,999,768,708,401,294,1,1
2025/05/23/16:29:46.406184,53,1748010586,405799865,,1000,249,165,52,22,16,39,35,21,1000,21,0,905,999,999,999,999,768,708,401,294,1,1
2025/05/23/16:29:46.416288,54,1748010586,415849447,,1000,249,165,52,22,16,39,35,21,1000,20,0,905,999,999,999,999,768,708,401,294,1,1
2025/05/23/16:29:46.426407,55,1748010586,425975799,,1000,249,164,52,22,16,39,35,21,1000,19,0,906,999,999,999,999,768,706,399,293,1,1
2025/05/23/16:29:46.436249,56,1748010586,435747623,,1000,249,164,52,22,16,39,35,21,1000,18,0,907,999,999,999,999,767,706,399,293,1,1
