time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object,stiffness
2025/05/23/16:54:34.938448,1,1748012074,937729835,,1000,483,598,72,586,116,583,80,175,1000,0,139,910,999,999,999,999,160,397,0,0,0,0,0
2025/05/23/16:54:34.947945,2,1748012074,947524070,,1000,484,595,69,583,111,581,75,172,1000,0,137,921,999,999,999,999,156,393,0,0,0,0,0
2025/05/23/16:54:34.958456,3,1748012074,957900762,,1000,484,595,69,583,111,581,75,172,1000,0,137,920,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:34.967835,4,1748012074,967533111,,1000,484,595,69,583,111,581,75,172,1000,0,137,920,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:34.978301,5,1748012074,977732658,,1000,484,595,69,583,111,581,75,172,1000,0,137,920,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:34.987868,6,1748012074,987550973,,1000,484,595,69,583,111,581,75,172,1000,0,137,920,999,999,999,999,156,393,0,0,0,0,0
2025/05/23/16:54:34.997886,7,1748012074,997461557,,1000,484,595,69,583,111,581,75,172,1000,0,137,920,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:35.007904,8,1748012075,7526636,,1000,484,595,69,583,111,581,75,172,1000,0,137,919,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:35.017963,9,1748012075,17499446,,1000,484,595,69,583,111,581,75,172,1000,0,137,920,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:35.027765,10,1748012075,27486324,,1000,484,595,69,584,110,581,75,172,1000,0,137,920,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:35.038107,11,1748012075,37615537,,1000,484,595,69,583,110,581,75,172,1000,0,137,920,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:35.047891,12,1748012075,47542810,,1000,484,595,69,583,110,580,75,172,1000,0,137,920,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:35.057811,13,1748012075,57422161,,1000,484,595,69,584,110,581,75,171,1000,0,137,921,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:35.067787,14,1748012075,67387342,,1000,484,594,69,584,110,581,75,172,1000,0,137,922,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:35.077869,15,1748012075,77444314,,1000,484,594,69,583,110,581,75,172,1000,0,136,923,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:35.087747,16,1748012075,87389707,,1000,485,594,69,583,110,581,75,172,1000,0,136,924,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:35.097903,17,1748012075,97446918,,1000,485,595,69,583,110,581,75,172,1000,0,137,924,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:35.108024,18,1748012075,107498645,,1000,484,594,69,583,110,581,75,172,1000,0,137,926,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:35.117779,19,1748012075,117432117,,1000,485,595,69,583,110,581,75,172,1000,0,137,928,999,999,999,999,156,391,0,0,0,0,0
2025/05/23/16:54:35.127883,20,1748012075,127447843,,1000,485,595,69,583,110,581,75,172,1000,0,137,930,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:35.138013,21,1748012075,137528419,,1000,485,595,69,584,110,581,75,172,1000,0,136,929,999,999,999,999,156,392,0,0,0,0,0
2025/05/23/16:54:35.147985,22,1748012075,147522211,,1000,485,594,69,583,110,581,75,171,1000,0,136,929,999,999,999,999,156,391,0,0,0,0,0
