time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object
2025/05/23/16:03:10.769905,35,1748008990,769457578,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,1
2025/05/23/16:03:10.779717,36,1748008990,779419660,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,1
2025/05/23/16:03:10.789833,37,1748008990,789393186,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,1
2025/05/23/16:03:10.800005,38,1748008990,799512624,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,1
2025/05/23/16:03:10.809817,39,1748008990,809414863,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,1
2025/05/23/16:03:10.820067,40,1748008990,819476366,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,1
2025/05/23/16:03:10.829974,41,1748008990,829481124,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,1
2025/05/23/16:03:10.839780,42,1748008990,839431762,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,1
2025/05/23/16:03:10.849844,43,1748008990,849485635,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,1
2025/05/23/16:03:10.859879,44,1748008990,859507799,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,1
2025/05/23/16:03:10.870130,45,1748008990,869532823,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,1
2025/05/23/16:03:10.879817,46,1748008990,879498958,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,1
2025/05/23/16:03:10.889931,47,1748008990,889535665,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,1
2025/05/23/16:03:10.900040,48,1748008990,899539232,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,1
