time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object,stiffness
2025/05/23/15:02:16.598954,1,1748005336,598290205,,1000,125,260,31,141,20,103,0,113,1000,98,0,999,999,999,999,999,653,693,222,0,1,0,1
2025/05/23/15:02:16.608488,2,1748005336,608168125,,1000,124,256,31,135,16,95,0,104,1000,41,0,999,999,999,999,999,631,682,206,0,1,0,1
2025/05/23/15:02:16.618473,3,1748005336,618044614,,1000,124,256,31,134,16,95,0,104,1000,40,0,999,999,999,999,999,631,682,206,0,1,0,1
2025/05/23/15:02:16.628366,4,1748005336,627928733,,1000,124,256,31,134,16,95,0,104,1000,39,0,999,999,999,999,999,630,682,206,0,1,0,1
2025/05/23/15:02:16.638211,5,1748005336,637895345,,1000,124,256,31,134,16,95,0,104,1000,38,0,999,999,999,999,999,630,682,204,0,1,0,1
2025/05/23/15:02:16.648516,6,1748005336,648106098,,1000,124,255,31,134,16,95,0,104,1000,37,0,999,999,999,999,999,630,682,204,0,1,0,1
2025/05/23/15:02:16.658273,7,1748005336,657940149,,1000,124,255,31,134,16,95,0,103,1000,35,0,999,999,999,999,999,630,683,204,0,1,0,1
2025/05/23/15:02:16.668616,8,1748005336,668107748,,1000,124,255,31,134,16,95,0,103,1000,34,0,999,999,999,999,999,630,684,204,0,1,0,1
2025/05/23/15:02:16.678435,9,1748005336,678011894,,1000,124,255,31,134,16,95,0,103,1000,32,0,999,999,999,999,999,630,685,204,0,1,0,1
2025/05/23/15:02:16.688404,10,1748005336,688026905,,1000,124,255,31,133,16,95,0,103,1000,30,0,999,999,999,999,999,631,686,202,0,1,0,1
2025/05/23/15:02:16.698498,11,1748005336,697989225,,1000,124,255,31,133,16,95,0,103,1000,29,0,999,999,999,999,999,631,686,202,0,1,0,1
2025/05/23/15:02:16.708397,12,1748005336,707937002,,1000,124,255,31,133,16,95,0,103,1000,28,0,999,999,999,999,999,631,685,202,0,1,0,1
2025/05/23/15:02:16.718395,13,1748005336,717902421,,1000,124,255,31,133,16,95,0,103,1000,27,0,999,999,999,999,999,631,685,202,0,1,0,1
2025/05/23/15:02:16.728237,14,1748005336,727854967,,1000,124,255,31,133,16,95,0,102,1000,26,0,999,999,999,999,999,632,684,200,0,1,0,1
2025/05/23/15:02:16.738401,15,1748005336,737886667,,1000,124,255,31,133,16,95,0,102,1000,25,0,999,999,999,999,999,633,684,200,0,1,0,1
2025/05/23/15:02:16.748369,16,1748005336,747967243,,1000,124,255,31,133,16,95,0,102,1000,25,0,999,999,999,999,999,633,683,198,0,1,0,1
2025/05/23/15:02:16.758217,17,1748005336,757903814,,1000,124,255,31,133,16,95,0,102,1000,24,0,999,999,999,999,999,633,683,198,0,1,0,1
2025/05/23/15:02:16.768299,18,1748005336,767918586,,1000,124,255,31,133,15,95,0,102,1000,24,0,999,999,999,999,999,634,684,198,0,1,0,1
2025/05/23/15:02:16.778317,19,1748005336,777898788,,1000,124,254,31,133,15,95,0,102,1000,23,0,999,999,999,999,999,634,684,198,0,1,0,1
2025/05/23/15:02:16.788296,20,1748005336,787875413,,1000,124,253,31,133,15,95,0,102,1000,23,0,999,999,999,999,999,634,684,198,0,1,0,1
2025/05/23/15:02:16.798315,21,1748005336,797918796,,1000,124,253,31,133,15,95,0,102,1000,22,0,999,999,999,999,999,635,684,196,0,1,0,1
2025/05/23/15:02:16.808204,22,1748005336,807890892,,1000,124,252,31,133,15,95,0,102,1000,22,0,999,999,999,999,999,635,684,196,0,1,0,1
2025/05/23/15:02:16.818177,23,1748005336,817882061,,1000,124,251,31,133,15,95,0,102,1000,22,0,999,999,999,999,999,635,684,196,0,1,0,1
2025/05/23/15:02:16.828311,24,1748005336,827915668,,1000,124,251,31,133,15,95,0,102,1000,22,0,999,999,999,999,999,635,684,194,0,1,0,1
2025/05/23/15:02:16.838391,25,1748005336,837881565,,1000,124,250,31,133,15,95,0,102,1000,22,0,999,999,999,999,999,635,684,194,0,1,0,1
2025/05/23/15:02:16.848701,26,1748005336,848026990,,1000,124,249,31,133,15,95,0,102,1000,22,0,999,999,999,999,999,635,685,194,0,1,0,1
2025/05/23/15:02:16.858247,27,1748005336,857953548,,1000,124,248,31,133,15,95,0,102,1000,21,0,999,999,999,999,999,635,684,194,0,1,0,1
2025/05/23/15:02:16.868271,28,1748005336,867904663,,1000,124,248,31,133,15,95,0,102,1000,21,0,999,999,999,999,999,635,684,194,0,1,0,1
2025/05/23/15:02:16.878134,29,1748005336,877881050,,1000,124,248,31,133,15,95,0,102,1000,21,0,999,999,999,999,999,635,684,194,0,1,0,1
2025/05/23/15:02:16.888244,30,1748005336,887894630,,1000,124,247,31,132,15,95,0,101,1000,20,0,999,999,999,999,999,635,684,194,0,1,0,1
2025/05/23/15:02:16.898367,31,1748005336,897936344,,1000,124,246,31,132,15,95,0,102,1000,20,0,999,999,999,999,999,635,684,194,0,1,0,1
2025/05/23/15:02:16.908447,32,1748005336,908080816,,1000,124,246,31,132,15,95,0,102,1000,20,0,999,999,999,999,999,635,684,194,0,1,0,1
2025/05/23/15:02:16.918257,33,1748005336,917891979,,1000,124,246,31,132,15,94,0,101,1000,19,0,999,999,999,999,999,634,683,194,0,1,0,1
2025/05/23/15:02:16.928182,34,1748005336,927877187,,1000,124,245,31,132,15,94,0,101,1000,18,0,999,999,999,999,999,634,683,194,0,1,0,1
2025/05/23/15:02:16.938235,35,1748005336,937892913,,1000,124,245,31,132,15,94,0,101,1000,18,0,999,999,999,999,999,634,683,194,0,1,0,1
2025/05/23/15:02:16.948374,36,1748005336,947970867,,1000,124,245,31,132,15,94,0,101,1000,18,0,999,999,999,999,999,634,682,192,0,1,0,1
2025/05/23/15:02:16.958408,37,1748005336,957929372,,1000,124,244,31,132,15,94,0,101,1000,17,0,999,999,999,999,999,634,682,191,0,1,0,1
2025/05/23/15:02:16.968271,38,1748005336,967905044,,1000,124,244,31,132,15,94,0,101,1000,17,0,999,999,999,999,999,634,682,191,0,1,0,1
2025/05/23/15:02:16.978193,39,1748005336,977889060,,1000,124,243,31,132,15,94,0,101,1000,17,0,999,999,999,999,999,633,683,191,0,1,0,1
2025/05/23/15:02:16.988299,40,1748005336,987913846,,1000,124,243,31,132,15,94,0,101,1000,17,0,999,999,999,999,999,633,682,191,0,1,0,1
2025/05/23/15:02:16.998208,41,1748005336,997867822,,1000,124,243,31,131,15,94,0,101,1000,16,0,999,999,999,999,999,633,682,191,0,1,0,1
2025/05/23/15:02:17.008292,42,1748005337,7883071,,1000,124,243,31,131,15,94,0,101,1000,16,0,999,999,999,999,999,633,682,191,0,1,0,1
2025/05/23/15:02:17.018325,43,1748005337,17937660,,1000,124,243,31,131,15,94,0,101,1000,16,0,999,999,999,999,999,633,682,191,0,1,0,1
2025/05/23/15:02:17.028296,44,1748005337,27969360,,1000,124,243,31,131,15,94,0,101,1000,16,0,999,999,999,999,999,632,682,191,0,1,0,1
2025/05/23/15:02:17.038260,45,1748005337,37885427,,1000,124,242,31,131,14,94,0,101,1000,16,0,999,999,999,999,999,632,682,191,0,1,0,1
2025/05/23/15:02:17.048409,46,1748005337,47893762,,1000,124,242,31,131,14,94,0,101,1000,16,0,999,999,999,999,999,631,682,189,0,1,0,1
