time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object,stiffness
2025/05/23/16:30:25.943169,1,1748010625,942674875,,1000,171,170,52,133,37,133,37,69,1000,30,0,904,999,999,999,999,592,640,241,220,1,1,1
2025/05/23/16:30:25.953130,2,1748010625,952436447,,1000,170,146,51,117,33,128,30,61,1000,0,0,901,999,999,999,999,603,633,239,216,1,1,1
2025/05/23/16:30:25.963044,3,1748010625,962540149,,1000,170,146,51,117,33,128,30,61,1000,0,0,902,999,999,999,999,603,632,239,215,1,1,1
2025/05/23/16:30:25.972973,4,1748010625,972542524,,1000,170,146,51,117,34,128,30,61,1000,0,0,903,999,999,999,999,603,632,239,215,1,1,1
2025/05/23/16:30:25.982817,5,1748010625,982389688,,1000,170,146,51,116,34,128,30,61,1000,0,0,903,999,999,999,999,602,632,239,214,1,1,1
2025/05/23/16:30:25.992880,6,1748010625,992505550,,1000,170,145,51,116,34,128,30,61,1000,0,0,903,999,999,999,999,602,632,241,214,1,1,1
2025/05/23/16:30:26.003019,7,1748010626,2449035,,1000,170,145,51,116,34,128,30,61,1000,0,0,903,999,999,999,999,602,632,241,214,1,1,1
2025/05/23/16:30:26.012889,8,1748010626,12403726,,1000,170,145,51,116,34,128,30,61,1000,0,0,903,999,999,999,999,602,631,241,214,1,1,1
2025/05/23/16:30:26.022755,9,1748010626,22323131,,1000,170,145,51,116,34,128,30,61,1000,0,0,902,999,999,999,999,602,631,241,214,1,1,1
2025/05/23/16:30:26.032865,10,1748010626,32362937,,1000,170,145,51,116,33,128,30,61,1000,0,0,902,999,999,999,999,602,631,239,213,1,1,1
2025/05/23/16:30:26.042648,11,1748010626,42322397,,1000,170,145,51,116,33,128,30,61,1000,0,0,903,999,999,999,999,602,631,239,213,1,1,1
2025/05/23/16:30:26.053130,12,1748010626,52414417,,1000,170,145,51,116,33,128,30,61,1000,0,0,902,999,999,999,999,602,631,239,213,1,1,1
2025/05/23/16:30:26.062727,13,1748010626,62341213,,1000,170,144,51,116,33,128,30,60,1000,0,0,901,999,999,999,999,601,631,239,213,1,1,1
2025/05/23/16:30:26.072631,14,1748010626,72291135,,1000,170,144,51,116,33,128,30,60,1000,0,0,901,999,999,999,999,601,631,239,213,1,1,1
2025/05/23/16:30:26.082578,15,1748010626,82320928,,1000,170,144,51,116,33,128,30,61,1000,0,0,902,999,999,999,999,601,631,239,213,1,1,1
2025/05/23/16:30:26.092733,16,1748010626,92299222,,1000,170,144,51,116,33,128,30,61,1000,0,0,902,999,999,999,999,601,631,241,213,1,1,1
2025/05/23/16:30:26.102941,17,1748010626,102518796,,1000,170,144,51,115,33,128,30,60,1000,0,0,902,999,999,999,999,601,629,239,213,1,1,1
2025/05/23/16:30:26.112825,18,1748010626,112447023,,1000,170,144,51,115,33,128,30,60,1000,0,0,902,999,999,999,999,601,629,239,212,1,1,1
2025/05/23/16:30:26.122703,19,1748010626,122295141,,1000,170,144,51,115,33,128,30,60,1000,0,0,901,999,999,999,999,601,629,237,212,1,1,1
2025/05/23/16:30:26.133002,20,1748010626,132347583,,1000,170,144,51,115,33,128,30,60,1000,0,0,899,999,999,999,999,600,628,237,212,1,1,1
2025/05/23/16:30:26.142796,21,1748010626,142433881,,1000,170,144,51,115,33,128,30,60,1000,0,0,897,999,999,999,999,601,629,239,212,1,1,1
2025/05/23/16:30:26.152804,22,1748010626,152376413,,1000,170,144,51,115,33,128,30,60,1000,0,0,895,999,999,999,999,601,629,239,212,1,1,1
2025/05/23/16:30:26.162632,23,1748010626,162325859,,1000,170,144,51,115,33,127,30,60,1000,0,0,895,999,999,999,999,600,629,239,212,1,1,1
2025/05/23/16:30:26.172767,24,1748010626,172348260,,1000,170,144,51,115,33,127,30,60,1000,0,0,894,999,999,999,999,600,628,237,213,1,1,1
2025/05/23/16:30:26.182574,25,1748010626,182272672,,1000,170,144,51,115,33,127,30,60,1000,0,0,894,999,999,999,999,600,628,237,213,1,1,1
2025/05/23/16:30:26.192748,26,1748010626,192297697,,1000,170,144,51,115,33,127,30,60,1000,0,0,894,999,999,999,999,600,628,237,213,1,1,1
2025/05/23/16:30:26.203006,27,1748010626,202414274,,1000,170,144,51,114,33,127,30,60,1000,0,0,894,999,999,999,999,600,628,237,214,1,1,1
2025/05/23/16:30:26.212613,28,1748010626,212309598,,1000,170,143,51,114,33,127,30,60,1000,0,0,894,999,999,999,999,600,628,237,215,1,1,1
2025/05/23/16:30:26.222643,29,1748010626,222382783,,1000,170,143,51,114,33,127,30,60,1000,0,0,894,999,999,999,999,600,629,237,216,1,1,1
2025/05/23/16:30:26.232785,30,1748010626,232340574,,1000,170,143,51,114,33,127,30,60,1000,0,0,894,999,999,999,999,600,629,237,217,1,1,1
2025/05/23/16:30:26.242645,31,1748010626,242335557,,1000,170,143,51,114,33,127,30,60,1000,0,0,893,999,999,999,999,599,628,237,218,1,1,1
2025/05/23/16:30:26.253084,32,1748010626,252577066,,1000,170,143,51,114,33,127,30,60,1000,0,0,893,999,999,999,999,599,627,237,220,1,1,1
2025/05/23/16:30:26.262697,33,1748010626,262307643,,1000,170,143,51,114,33,127,30,60,1000,0,0,894,999,999,999,999,599,627,237,220,1,1,1
2025/05/23/16:30:26.272971,34,1748010626,272417306,,1000,170,143,51,114,33,127,30,60,1000,0,0,894,999,999,999,999,599,627,237,220,1,1,1
2025/05/23/16:30:26.282636,35,1748010626,282300472,,1000,170,143,51,114,33,127,30,60,1000,0,0,892,999,999,999,999,599,627,235,221,1,1,1
2025/05/23/16:30:26.292589,36,1748010626,292288303,,1000,170,142,51,114,33,127,30,60,1000,0,0,892,999,999,999,999,599,627,235,221,1,1,1
2025/05/23/16:30:26.302897,37,1748010626,302383899,,1000,170,142,51,114,33,127,30,60,1000,0,0,893,999,999,999,999,598,627,235,221,1,1,1
2025/05/23/16:30:26.312857,38,1748010626,312466382,,1000,170,142,51,114,33,127,30,59,1000,0,0,892,999,999,999,999,599,627,235,222,1,1,1
2025/05/23/16:30:26.322612,39,1748010626,322293758,,1000,170,142,51,114,33,127,30,59,1000,0,0,892,999,999,999,999,599,627,235,222,1,1,1
2025/05/23/16:30:26.332668,40,1748010626,332315683,,1000,170,142,51,114,33,127,30,59,1000,0,0,892,999,999,999,999,598,627,235,222,1,1,1
2025/05/23/16:30:26.342595,41,1748010626,342300653,,1000,170,142,51,113,33,127,30,59,1000,0,0,893,999,999,999,999,599,627,235,222,1,1,1
2025/05/23/16:30:26.353287,42,1748010626,352749824,,1000,170,141,51,113,33,127,30,59,1000,0,0,893,999,999,999,999,598,627,235,222,1,1,1
2025/05/23/16:30:26.362782,43,1748010626,362303256,,1000,170,141,51,113,33,127,30,59,1000,0,0,893,999,999,999,999,598,627,235,222,1,1,1
2025/05/23/16:30:26.373066,44,1748010626,372659683,,1000,170,141,51,113,33,127,30,59,1000,0,0,893,999,999,999,999,598,627,235,222,1,1,1
2025/05/23/16:30:26.382753,45,1748010626,382307291,,1000,170,141,51,113,33,127,30,59,1000,0,0,893,999,999,999,999,598,627,235,222,1,1,1
2025/05/23/16:30:26.392624,46,1748010626,392280340,,1000,170,141,51,113,33,127,30,59,1000,0,0,893,999,999,999,999,598,627,235,222,1,1,1
2025/05/23/16:30:26.402949,47,1748010626,402431011,,1000,170,141,51,113,33,127,30,59,1000,0,0,893,999,999,999,999,598,627,233,222,1,1,1
2025/05/23/16:30:26.412672,48,1748010626,412354230,,1000,170,141,51,113,33,127,30,59,1000,0,0,892,999,999,999,999,598,627,233,222,1,1,1
2025/05/23/16:30:26.422875,49,1748010626,422342061,,1000,170,141,51,113,33,127,30,59,1000,0,0,892,999,999,999,999,598,627,233,222,1,1,1
2025/05/23/16:30:26.432773,50,1748010626,432375669,,1000,170,141,51,113,33,127,29,59,1000,0,0,891,999,999,999,999,598,627,233,222,1,1,1
2025/05/23/16:30:26.442840,51,1748010626,442473888,,1000,170,141,51,113,33,127,29,59,1000,0,0,892,999,999,999,999,598,627,235,222,1,1,1
2025/05/23/16:30:26.452983,52,1748010626,452341318,,1000,170,141,51,113,33,127,29,59,1000,0,0,892,999,999,999,999,598,627,235,221,1,1,1
2025/05/23/16:30:26.462805,53,1748010626,462331295,,1000,170,141,51,113,33,127,29,59,1000,0,0,892,999,999,999,999,598,627,235,221,1,1,1
2025/05/23/16:30:26.472948,54,1748010626,472414016,,1000,170,141,50,113,33,127,29,59,1000,0,0,892,999,999,999,999,598,627,235,221,1,1,1
2025/05/23/16:30:26.502937,55,1748010626,502393007,,1000,170,141,50,113,33,127,29,59,1000,0,0,893,999,999,999,999,598,627,235,221,1,1,1
2025/05/23/16:30:26.512881,56,1748010626,512412309,,1000,171,141,51,113,33,127,29,59,1000,0,0,893,999,999,999,999,598,627,235,220,1,1,1
2025/05/23/16:30:26.523053,57,1748010626,522527933,,1000,171,141,50,112,33,127,29,59,1000,0,0,893,999,999,999,999,598,627,235,220,1,1,1
2025/05/23/16:30:26.532888,58,1748010626,532466650,,1000,170,141,50,112,33,127,29,59,1000,0,0,893,999,999,999,999,598,628,235,220,1,1,1
2025/05/23/16:30:26.542643,59,1748010626,542316198,,1000,170,141,50,112,33,127,29,59,1000,0,0,893,999,999,999,999,598,627,235,220,1,1,1
2025/05/23/16:30:27.173086,60,1748010627,172444581,,1000,172,136,50,108,33,127,22,65,1000,20,0,997,999,999,999,999,600,624,220,394,1,1,1
2025/05/23/16:30:27.183068,61,1748010627,182482004,,1000,172,136,50,108,33,126,22,65,1000,20,0,996,999,999,999,999,600,624,218,396,1,1,1
2025/05/23/16:30:27.193046,62,1748010627,192603588,,1000,172,136,50,107,33,126,21,65,1000,20,0,997,999,999,999,999,600,624,216,399,1,1,1
