time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object
2025/05/23/16:01:16.225723,1,1748008876,225194692,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.235519,2,1748008876,235120534,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.245618,3,1748008876,245136976,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.255602,4,1748008876,255182743,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.265751,5,1748008876,265239000,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.275839,6,1748008876,275255441,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.285569,7,1748008876,285178184,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.295614,8,1748008876,295141458,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.305700,9,1748008876,305184602,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.315493,10,1748008876,315217971,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.325867,11,1748008876,325223445,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.335355,12,1748008876,335063219,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.345471,13,1748008876,345084190,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.355459,14,1748008876,355024337,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.365427,15,1748008876,365057468,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.375446,16,1748008876,375100374,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.385414,17,1748008876,385109424,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.395737,18,1748008876,395116567,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.405609,19,1748008876,405180931,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.415716,20,1748008876,415298461,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.425599,21,1748008876,425153732,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.435690,22,1748008876,435164928,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.445467,23,1748008876,445097446,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.455445,24,1748008876,455046176,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.465539,25,1748008876,465053558,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.475700,26,1748008876,475171327,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.485434,27,1748008876,485065698,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.495589,28,1748008876,495132446,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.505381,29,1748008876,505043029,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
2025/05/23/16:01:16.515889,30,1748008876,515428066,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,0
