time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object,stiffness
2025/05/23/16:32:26.503722,1,1748010746,503111600,,1000,197,39,64,25,14,36,18,30,1000,0,0,928,999,999,999,999,800,736,346,314,1,0,1
2025/05/23/16:32:26.513409,2,1748010746,512972116,,1000,193,33,61,23,11,32,18,25,1000,0,0,934,999,999,999,999,802,713,329,244,1,0,1
2025/05/23/16:32:26.523503,3,1748010746,522974491,,1000,193,33,61,23,11,32,18,25,1000,0,0,935,999,999,999,999,801,713,329,244,1,0,1
2025/05/23/16:32:26.533253,4,1748010746,532874584,,1000,193,33,61,23,11,32,18,25,1000,0,0,934,999,999,999,999,801,712,329,244,1,0,1
2025/05/23/16:32:26.543268,5,1748010746,542929172,,1000,193,33,61,23,11,31,18,25,1000,0,0,934,999,999,999,999,801,713,329,246,1,0,1
2025/05/23/16:32:26.553626,6,1748010746,553070545,,1000,193,33,61,23,11,32,18,26,1000,0,0,934,999,999,999,999,801,713,329,244,1,0,1
2025/05/23/16:32:26.563340,7,1748010746,562971830,,1000,193,33,61,23,11,32,18,25,1000,0,0,934,999,999,999,999,800,713,329,245,1,0,1
2025/05/23/16:32:26.573232,8,1748010746,572951793,,1000,193,33,61,23,11,32,18,25,1000,0,0,934,999,999,999,999,800,713,331,247,1,0,1
2025/05/23/16:32:26.583488,9,1748010746,582964420,,1000,193,33,61,23,11,32,18,25,1000,0,0,934,999,999,999,999,800,713,331,249,1,0,1
2025/05/23/16:32:26.593410,10,1748010746,593022823,,1000,193,33,61,23,11,32,19,25,1000,0,0,934,999,999,999,999,799,713,331,250,1,0,1
2025/05/23/16:32:26.603778,11,1748010746,603106498,,1000,193,33,61,23,11,32,19,25,1000,0,0,936,999,999,999,999,799,713,331,250,1,0,1
2025/05/23/16:32:26.613301,12,1748010746,612901449,,1000,193,33,61,23,11,31,19,26,1000,0,0,938,999,999,999,999,799,713,331,249,1,0,1
2025/05/23/16:32:26.623353,13,1748010746,622979879,,1000,193,33,61,23,11,32,19,26,1000,0,0,940,999,999,999,999,799,713,331,248,1,0,1
2025/05/23/16:32:26.633208,14,1748010746,632846593,,1000,193,33,61,23,11,32,19,26,1000,0,0,950,999,999,999,999,799,713,331,247,1,0,1
2025/05/23/16:32:26.643297,15,1748010746,642889261,,1000,193,33,61,23,11,32,19,26,1000,0,0,959,999,999,999,999,799,713,331,246,1,0,1
2025/05/23/16:32:26.653492,16,1748010746,652936220,,1000,193,32,61,23,12,32,19,26,1000,0,0,963,999,999,999,999,799,713,331,246,1,0,1
