time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object,stiffness
2025/05/23/15:03:20.797774,1,1748005400,797178506,,1000,115,384,28,197,41,165,0,145,1000,62,0,999,999,999,999,999,561,669,231,0,1,0,1
2025/05/23/15:03:20.807681,2,1748005400,807195425,,1000,115,379,29,187,40,155,0,136,1000,36,0,999,999,999,999,999,564,668,218,0,1,0,1
2025/05/23/15:03:20.817497,3,1748005400,817079305,,1000,115,379,29,187,40,155,0,136,1000,36,0,999,999,999,999,999,564,669,218,0,1,0,1
2025/05/23/15:03:20.827390,4,1748005400,827105283,,1000,115,379,29,187,40,155,0,136,1000,35,0,999,999,999,999,999,564,669,220,0,1,0,1
2025/05/23/15:03:20.837614,5,1748005400,837151765,,1000,115,379,29,187,40,155,0,136,1000,35,0,999,999,999,999,999,563,669,220,0,1,0,1
2025/05/23/15:03:20.847463,6,1748005400,847076654,,1000,115,379,29,187,40,155,0,135,1000,34,0,999,999,999,999,999,563,668,220,0,1,0,1
2025/05/23/15:03:20.857367,7,1748005400,857021093,,1000,115,379,29,187,40,155,0,135,1000,34,0,999,999,999,999,999,563,668,220,0,1,0,1
2025/05/23/15:03:20.867347,8,1748005400,867032051,,1000,115,379,29,187,40,155,0,135,1000,32,0,999,999,999,999,999,563,667,220,0,1,0,1
2025/05/23/15:03:20.877638,9,1748005400,877134323,,1000,115,379,29,187,40,155,0,135,1000,31,0,999,999,999,999,999,563,668,220,0,1,0,1
2025/05/23/15:03:20.887738,10,1748005400,887103319,,1000,115,379,29,187,40,155,0,135,1000,31,0,999,999,999,999,999,563,668,220,0,1,0,1
2025/05/23/15:03:20.897401,11,1748005400,897003412,,1000,115,380,29,187,40,155,0,135,1000,29,0,999,999,999,999,999,562,668,220,0,1,0,1
2025/05/23/15:03:20.907374,12,1748005400,907027721,,1000,115,380,29,187,40,155,0,135,1000,29,0,999,999,999,999,999,562,668,220,0,1,0,1
2025/05/23/15:03:20.917501,13,1748005400,917078971,,1000,115,380,29,187,40,155,0,135,1000,28,0,999,999,999,999,999,562,668,220,0,1,0,1
2025/05/23/15:03:20.927438,14,1748005400,927041530,,1000,115,380,29,187,40,155,0,135,1000,28,0,999,999,999,999,999,562,668,220,0,1,0,1
2025/05/23/15:03:20.937829,15,1748005400,937165021,,1000,115,379,29,187,40,155,0,135,1000,27,0,999,999,999,999,999,562,667,220,0,1,0,1
2025/05/23/15:03:20.947442,16,1748005400,947084426,,1000,115,379,29,187,40,154,0,135,1000,26,0,999,999,999,999,999,562,668,220,0,1,0,1
2025/05/23/15:03:20.957263,17,1748005400,956993818,,1000,115,379,29,187,40,154,0,135,1000,26,0,999,999,999,999,999,562,668,218,0,1,0,1
2025/05/23/15:03:20.967381,18,1748005400,966979742,,1000,115,379,29,187,40,154,0,135,1000,25,0,999,999,999,999,999,562,668,218,0,1,0,1
2025/05/23/15:03:20.977319,19,1748005400,977015972,,1000,115,379,29,187,40,154,0,135,1000,25,0,999,999,999,999,999,562,668,218,0,1,0,1
2025/05/23/15:03:20.987392,20,1748005400,987029790,,1000,115,379,29,187,40,154,0,134,1000,25,0,999,999,999,999,999,562,668,218,0,1,0,1
2025/05/23/15:03:20.997411,21,1748005400,997069597,,1000,115,379,29,186,40,154,0,134,1000,25,0,999,999,999,999,999,562,668,218,0,1,0,1
2025/05/23/15:03:21.007492,22,1748005401,6999015,,1000,115,379,29,186,40,154,0,134,1000,24,0,999,999,999,999,999,562,668,218,0,1,0,1
2025/05/23/15:03:21.017418,23,1748005401,17077445,,1000,115,379,29,186,40,154,0,134,1000,24,0,999,999,999,999,999,562,668,218,0,1,0,1
2025/05/23/15:03:21.027734,24,1748005401,27217149,,1000,115,379,29,186,40,154,0,134,1000,24,0,999,999,999,999,999,562,668,218,0,1,0,1
2025/05/23/15:03:21.037943,25,1748005401,37187814,,1000,115,379,29,186,39,154,0,134,1000,24,0,999,999,999,999,999,562,668,218,0,1,0,1
2025/05/23/15:03:21.047370,26,1748005401,47057628,,1000,115,379,29,186,39,154,0,134,1000,23,0,999,999,999,999,999,562,668,218,0,1,0,1
2025/05/23/15:03:21.057627,27,1748005401,57185888,,1000,115,379,29,186,39,154,0,134,1000,23,0,999,999,999,999,999,562,668,216,0,1,0,1
2025/05/23/15:03:21.067517,28,1748005401,67054986,,1000,115,379,29,186,40,153,0,134,1000,23,0,999,999,999,999,999,562,668,216,0,1,0,1
