time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object
2025/05/23/15:20:03.416634,1,1748006403,415945768,,1000,154,308,56,163,55,152,41,165,1000,54,397,999,999,999,999,999,637,749,382,348,0,1
2025/05/23/15:20:03.426248,2,1748006403,425874471,,1000,157,369,56,162,51,161,36,161,1000,90,65,999,999,999,999,999,612,747,397,304,0,1
2025/05/23/15:20:03.436145,3,1748006403,435768365,,1000,157,368,56,162,51,161,35,161,1000,91,71,999,999,999,999,999,612,747,397,304,0,1
2025/05/23/15:20:03.446406,4,1748006403,445840358,,1000,157,367,56,162,51,161,35,161,1000,91,80,999,999,999,999,999,612,747,397,303,0,1
2025/05/23/15:20:03.456089,5,1748006403,455700635,,1000,157,365,56,161,51,161,36,161,1000,91,92,999,999,999,999,999,612,746,399,303,0,1
2025/05/23/15:20:03.466135,6,1748006403,465766429,,1000,157,363,56,161,51,161,35,161,1000,91,105,999,999,999,999,999,612,746,399,303,0,1
2025/05/23/15:20:03.475998,7,1748006403,475668430,,1000,157,360,56,162,51,162,36,161,1000,91,133,999,999,999,999,999,612,747,397,301,0,1
2025/05/23/15:20:03.485974,8,1748006403,485676765,,1000,157,358,56,162,51,162,36,161,1000,91,150,999,999,999,999,999,611,747,397,300,0,1
2025/05/23/15:20:03.496408,9,1748006403,495778322,,1000,157,356,56,162,52,162,35,161,1000,91,172,999,999,999,999,999,611,747,397,299,0,1
2025/05/23/15:20:03.506242,10,1748006403,505757093,,1000,157,354,56,162,52,162,35,161,1000,91,190,999,999,999,999,999,611,747,397,299,0,1
