time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object,stiffness
2025/05/23/15:20:16.900008,1,1748006416,899621009,,1000,143,171,55,111,48,98,16,89,1000,28,0,999,999,999,999,999,651,781,317,282,0,1,0
2025/05/23/15:20:16.910050,2,1748006416,909595727,,1000,141,168,51,98,44,75,15,80,1000,11,0,999,999,999,999,999,647,735,300,253,0,1,0
2025/05/23/15:20:16.920967,3,1748006416,920243740,,1000,140,168,51,98,44,75,14,80,1000,11,0,999,999,999,999,999,647,735,300,252,0,1,0
2025/05/23/15:20:16.930312,4,1748006416,929776668,,1000,140,168,51,98,44,75,14,80,1000,11,0,999,999,999,999,999,647,735,300,251,0,1,0
2025/05/23/15:20:16.940199,5,1748006416,939663410,,1000,140,168,51,98,44,75,14,80,1000,11,0,999,999,999,999,999,647,735,300,251,0,1,0
2025/05/23/15:20:16.950295,6,1748006416,949746131,,1000,140,168,51,98,44,75,14,80,1000,11,0,999,999,999,999,999,646,734,300,250,0,1,0
2025/05/23/15:20:16.960235,7,1748006416,959685325,,1000,140,168,51,98,44,75,14,80,1000,11,0,999,999,999,999,999,646,734,300,251,0,1,0
2025/05/23/15:20:16.970193,8,1748006416,969681978,,1000,140,168,51,97,44,75,14,80,1000,11,0,999,999,999,999,999,646,734,300,251,0,1,0
2025/05/23/15:20:16.981262,9,1748006416,979703187,,1000,140,167,51,97,44,75,14,79,1000,11,0,999,999,999,999,999,646,734,300,250,0,1,0
2025/05/23/15:20:16.990465,10,1748006416,989974737,,1000,140,167,51,98,44,74,14,79,1000,11,0,999,999,999,999,999,646,734,300,251,0,1,0
2025/05/23/15:20:17.000145,11,1748006416,999681711,,1000,140,167,51,98,44,74,14,79,1000,10,0,999,999,999,999,999,646,733,298,251,0,1,0
2025/05/23/15:20:17.010165,12,1748006417,9711027,,1000,140,167,51,97,44,74,14,79,1000,10,0,999,999,999,999,999,645,733,298,251,0,1,0
2025/05/23/15:20:17.020092,13,1748006417,19674777,,1000,140,167,51,97,44,74,14,79,1000,10,0,999,999,999,999,999,645,733,298,250,0,1,0
2025/05/23/15:20:17.031459,14,1748006417,29634714,,1000,140,167,51,97,44,74,14,79,1000,10,0,999,999,999,999,999,645,734,300,250,0,1,0
2025/05/23/15:20:17.040096,15,1748006417,39632081,,1000,140,167,51,97,44,74,14,79,1000,10,0,999,999,999,999,999,645,734,300,248,0,1,0
2025/05/23/15:20:17.050105,16,1748006417,49618244,,1000,140,167,51,97,44,74,13,79,1000,10,0,999,999,999,999,999,645,733,300,247,0,1,0
2025/05/23/15:20:17.061740,17,1748006417,59645414,,1000,140,166,51,97,44,74,13,79,1000,10,0,999,999,999,999,999,645,733,298,247,0,1,0
2025/05/23/15:20:17.070837,18,1748006417,69590091,,1000,140,167,51,97,44,74,13,79,1000,9,0,999,999,999,999,999,645,733,300,249,0,1,0
2025/05/23/15:20:17.080183,19,1748006417,79582452,,1000,140,166,51,97,44,73,13,79,1000,9,0,999,999,999,999,999,645,733,298,249,0,1,0
2025/05/23/15:20:17.090155,20,1748006417,89601755,,1000,140,166,51,97,44,73,13,79,1000,9,0,999,999,999,999,999,645,733,298,248,0,1,0
2025/05/23/15:20:17.099880,21,1748006417,99519014,,1000,140,166,51,97,44,73,13,79,1000,9,0,999,999,999,999,999,645,732,298,248,0,1,0
2025/05/23/15:20:17.110212,22,1748006417,109596252,,1000,140,166,51,97,44,73,13,79,1000,9,0,999,999,999,999,999,645,732,298,247,0,1,0
2025/05/23/15:20:17.120077,23,1748006417,119603157,,1000,140,166,51,97,44,73,13,78,1000,9,0,999,999,999,999,999,644,732,298,247,0,1,0
2025/05/23/15:20:17.129911,24,1748006417,129573822,,1000,140,166,51,97,44,73,13,78,1000,9,0,999,999,999,999,999,645,732,298,246,0,1,0
2025/05/23/15:20:17.140112,25,1748006417,139619350,,1000,140,166,51,97,44,73,13,78,1000,9,0,999,999,999,999,999,644,732,298,246,0,1,0
2025/05/23/15:20:17.150004,26,1748006417,149536848,,1000,140,166,51,96,44,73,13,78,1000,9,0,999,999,999,999,999,644,732,298,245,0,1,0
2025/05/23/15:20:17.160006,27,1748006417,159559249,,1000,140,166,51,96,44,73,13,78,1000,8,0,999,999,999,999,999,644,731,300,245,0,1,0
2025/05/23/15:20:17.170082,28,1748006417,169620752,,1000,140,166,51,96,44,73,13,78,1000,8,0,999,999,999,999,999,644,731,300,245,0,1,0
2025/05/23/15:20:17.180085,29,1748006417,179614782,,1000,140,166,51,96,44,73,13,78,1000,8,0,999,999,999,999,999,644,731,300,246,0,1,0
2025/05/23/15:20:17.190006,30,1748006417,189593315,,1000,140,166,51,96,44,73,13,78,1000,8,0,999,999,999,999,999,644,731,300,245,0,1,0
2025/05/23/15:20:17.200045,31,1748006417,199600934,,1000,140,166,51,96,44,73,13,78,1000,8,0,999,999,999,999,999,644,731,300,245,0,1,0
2025/05/23/15:20:17.210119,32,1748006417,209595441,,1000,140,166,51,95,44,73,13,78,1000,8,0,999,999,999,999,999,644,730,300,245,0,1,0
2025/05/23/15:20:17.219956,33,1748006417,219534158,,1000,140,166,51,96,44,73,13,78,1000,8,0,999,999,999,999,999,644,730,300,245,0,1,0
2025/05/23/15:20:17.229945,34,1748006417,229523420,,1000,140,166,51,96,44,73,13,78,1000,8,0,999,999,999,999,999,644,730,300,245,0,1,0
2025/05/23/15:20:17.239872,35,1748006417,239492893,,1000,140,166,51,96,44,73,13,78,1000,8,0,999,999,999,999,999,644,730,302,246,0,1,0
2025/05/23/15:20:17.249831,36,1748006417,249519824,,1000,140,166,51,95,44,73,13,78,1000,7,0,999,999,999,999,999,644,730,302,246,0,1,0
2025/05/23/15:20:17.259959,37,1748006417,259532690,,1000,140,166,51,95,44,73,13,78,1000,7,0,999,999,999,999,999,644,730,302,246,0,1,0
2025/05/23/15:20:17.269855,38,1748006417,269509553,,1000,140,166,51,95,44,73,13,78,1000,7,0,999,999,999,999,999,644,730,302,246,0,1,0
2025/05/23/15:20:17.279792,39,1748006417,279497385,,1000,140,166,51,95,44,73,13,78,1000,7,0,999,999,999,999,999,644,730,302,246,0,1,0
2025/05/23/15:20:17.289754,40,1748006417,289448499,,1000,140,166,51,95,44,72,13,78,1000,7,0,999,999,999,999,999,644,730,302,247,0,1,0
2025/05/23/15:20:17.299953,41,1748006417,299486875,,1000,140,167,51,95,44,72,13,78,1000,7,0,999,999,999,999,999,643,730,302,247,0,1,0
2025/05/23/15:20:17.310098,42,1748006417,309508323,,1000,140,167,51,95,44,72,12,78,1000,7,0,999,999,999,999,999,643,730,302,248,0,1,0
2025/05/23/15:20:17.319841,43,1748006417,319505929,,1000,140,167,51,95,44,72,12,78,1000,6,0,999,999,999,999,999,643,730,302,248,0,1,0
2025/05/23/15:20:17.329932,44,1748006417,329519271,,1000,140,166,51,95,44,72,12,78,1000,6,0,999,999,999,999,999,643,730,302,248,0,1,0
2025/05/23/15:20:17.339964,45,1748006417,339572668,,1000,140,166,51,95,45,72,12,77,1000,6,0,999,999,999,999,999,643,730,302,249,0,1,0
2025/05/23/15:20:17.349910,46,1748006417,349583148,,1000,140,167,51,95,45,72,13,78,1000,6,0,999,999,999,999,999,643,730,302,250,0,1,0
2025/05/23/15:20:17.359750,47,1748006417,359442472,,1000,140,167,51,95,45,72,13,78,1000,6,0,999,999,999,999,999,643,729,302,250,0,1,0
2025/05/23/15:20:17.369872,48,1748006417,369512796,,1000,140,167,51,95,45,72,12,77,1000,6,0,999,999,999,999,999,643,729,302,250,0,1,0
2025/05/23/15:20:17.379869,49,1748006417,379492044,,1000,140,167,51,95,45,72,12,77,1000,6,0,999,999,999,999,999,642,730,304,250,0,1,0
2025/05/23/15:20:17.389808,50,1748006417,389485836,,1000,139,167,51,95,45,72,12,78,1000,6,0,999,999,999,999,999,642,730,304,250,0,1,0
2025/05/23/15:20:17.399819,51,1748006417,399484395,,1000,139,167,51,95,45,72,12,78,1000,6,0,999,999,999,999,999,642,729,304,250,0,1,0
2025/05/23/15:20:17.410225,52,1748006417,409636497,,1000,139,167,51,95,45,72,12,78,1000,5,0,999,999,999,999,999,642,729,304,250,0,1,0
2025/05/23/15:20:17.419945,53,1748006417,419593572,,1000,140,167,51,95,45,72,12,77,1000,5,0,999,999,999,999,999,642,729,304,250,0,1,0
2025/05/23/15:20:17.430043,54,1748006417,429551839,,1000,139,167,51,95,45,72,12,77,1000,5,0,999,999,999,999,999,642,729,304,250,0,1,0
2025/05/23/15:20:17.460021,55,1748006417,459504127,,1000,139,167,51,95,45,72,12,78,1000,5,0,999,999,999,999,999,641,729,302,250,0,1,0
2025/05/23/15:20:17.469883,56,1748006417,469527006,,1000,139,167,51,95,45,72,12,77,1000,5,0,999,999,999,999,999,641,730,302,250,0,1,0
2025/05/23/15:20:17.480028,57,1748006417,479542255,,1000,139,167,51,95,45,72,12,77,1000,5,0,999,999,999,999,999,641,730,304,250,0,1,0
2025/05/23/15:20:17.490137,58,1748006417,489578962,,1000,139,166,51,95,45,72,12,77,1000,5,0,999,999,999,999,999,641,730,304,250,0,1,0
2025/05/23/15:20:17.499842,59,1748006417,499523401,,1000,139,166,51,95,45,72,12,77,1000,5,0,999,999,999,999,999,641,729,304,250,0,1,0
2025/05/23/15:20:18.130225,60,1748006418,129634380,,1000,139,162,49,89,38,180,137,76,1000,0,0,999,999,999,999,999,615,730,329,311,0,1,0
2025/05/23/15:20:18.139957,61,1748006418,139599323,,1000,139,162,49,89,38,180,137,76,1000,0,0,999,999,999,999,999,615,730,333,318,0,1,0
2025/05/23/15:20:18.149943,62,1748006418,149581670,,1000,139,162,49,89,38,181,138,75,1000,0,0,999,999,999,999,999,614,731,337,328,0,1,0
2025/05/23/15:20:18.159912,63,1748006418,159577131,,1000,139,162,49,89,39,181,138,75,1000,0,0,999,999,999,999,999,613,732,343,339,0,1,0
2025/05/23/15:20:18.169950,64,1748006418,169579267,,1000,139,161,49,89,39,180,136,75,1000,0,0,999,999,999,999,999,612,733,350,352,0,1,0
2025/05/23/15:20:18.180112,65,1748006418,179687738,,1000,139,161,49,89,39,180,135,75,1000,1,0,999,999,999,999,999,611,735,360,364,0,1,0
2025/05/23/15:20:18.190239,66,1748006418,189607858,,1000,139,161,49,89,39,179,136,74,1000,6,0,999,999,999,999,999,609,737,368,376,0,1,0
2025/05/23/15:20:18.200045,67,1748006418,199636220,,1000,140,161,49,89,39,178,135,73,1000,13,0,999,999,999,999,999,607,740,376,392,0,1,0
2025/05/23/15:20:18.210250,68,1748006418,209626674,,1000,140,159,48,89,39,178,134,72,1000,19,0,999,999,999,999,999,606,741,378,405,0,1,0
2025/05/23/15:20:18.220046,69,1748006418,219691514,,1000,140,159,48,89,38,178,134,71,1000,26,0,999,999,999,999,999,604,741,380,418,0,1,0
2025/05/23/15:20:18.230266,70,1748006418,229750156,,1000,140,157,48,89,38,178,134,69,1000,34,0,999,999,999,999,999,602,740,382,431,0,1,0
2025/05/23/15:20:18.240256,71,1748006418,239687204,,1000,140,156,48,89,37,179,134,68,1000,45,0,999,999,999,999,999,600,740,380,445,0,1,0
2025/05/23/15:20:18.250162,72,1748006418,249688386,,1000,140,154,47,87,37,181,135,67,1000,57,0,999,999,999,999,999,598,739,380,460,0,1,0
2025/05/23/15:20:18.260350,73,1748006418,259786605,,1000,140,152,47,86,36,181,136,66,1000,72,0,999,999,999,999,999,596,736,378,475,0,1,0
2025/05/23/15:20:18.269936,74,1748006418,269557952,,1000,140,151,46,86,35,182,135,65,1000,88,0,999,999,999,999,999,594,733,376,490,0,1,0
2025/05/23/15:20:18.280313,75,1748006418,279676675,,1000,140,152,46,85,34,184,137,64,1000,108,0,999,999,999,999,999,592,732,374,507,0,1,0
2025/05/23/15:20:18.290009,76,1748006418,289585113,,1000,140,155,46,84,33,184,137,64,1000,129,0,999,999,999,999,999,591,730,374,522,0,1,0
2025/05/23/15:20:18.299895,77,1748006418,299528360,,1000,140,162,46,83,32,184,136,63,1000,150,0,999,999,999,999,999,589,727,374,537,0,1,0
2025/05/23/15:20:18.309956,78,1748006418,309527635,,1000,140,173,46,82,32,185,135,62,1000,174,0,999,999,999,999,999,588,725,374,555,0,1,0
2025/05/23/15:20:18.319949,79,1748006418,319506168,,1000,140,187,46,81,31,185,135,62,1000,189,0,999,999,999,999,999,587,722,372,566,0,1,0
2025/05/23/15:20:18.330168,80,1748006418,329643249,,1000,140,187,46,81,31,185,135,62,1000,189,0,999,999,999,999,999,587,722,372,566,0,1,0
2025/05/23/15:20:18.339965,81,1748006418,339586257,,1000,141,235,46,80,30,185,133,61,1000,214,0,999,999,999,999,999,583,718,368,594,0,1,0
2025/05/23/15:20:18.350085,82,1748006418,349586725,,1000,140,267,45,80,29,187,135,60,1000,224,0,999,999,999,999,999,582,717,368,608,0,1,0
2025/05/23/15:20:18.360197,83,1748006418,359679937,,1000,140,298,45,79,29,189,135,60,1000,233,0,999,999,999,999,999,582,716,370,623,0,1,0
2025/05/23/15:20:18.369886,84,1748006418,369547605,,1000,140,327,45,79,29,191,134,59,1000,241,0,999,999,999,999,999,581,716,370,639,0,1,0
2025/05/23/15:20:18.380086,85,1748006418,379565238,,1000,140,353,45,80,28,193,134,59,1000,251,0,999,999,999,999,999,579,715,370,654,0,1,0
2025/05/23/15:20:18.389993,86,1748006418,389592409,,1000,139,406,45,81,27,196,132,58,1000,269,0,999,999,999,999,999,578,714,368,680,0,1,0
2025/05/23/15:20:18.399941,87,1748006418,399547576,,1000,139,430,45,82,27,201,134,58,1000,278,0,999,999,999,999,999,577,713,368,695,0,1,0
2025/05/23/15:20:18.410183,88,1748006418,409767389,,1000,139,456,45,83,26,204,134,58,1000,288,0,999,999,999,999,999,577,714,372,712,0,1,0
2025/05/23/15:20:18.419913,89,1748006418,419569730,,1000,139,475,45,83,26,206,131,58,1000,295,0,999,999,999,999,999,576,713,372,724,0,1,0
2025/05/23/15:20:18.430416,90,1748006418,429662227,,1000,139,492,45,84,25,209,130,58,1000,301,0,999,999,999,999,999,575,713,374,736,0,1,0
2025/05/23/15:20:18.440029,91,1748006418,439557075,,1000,139,510,45,85,25,212,130,58,1000,307,0,999,999,999,999,999,574,713,376,748,0,1,0
2025/05/23/15:20:18.449934,92,1748006418,449496030,,1000,139,528,45,87,25,216,130,58,1000,314,0,999,999,999,999,999,573,713,378,760,0,1,0
2025/05/23/15:20:18.460024,93,1748006418,459556818,,1000,139,545,45,88,24,220,130,58,1000,320,0,999,999,999,999,999,572,713,382,771,0,1,0
2025/05/23/15:20:18.469911,94,1748006418,469519615,,1000,139,561,45,89,24,224,127,59,1000,329,0,999,999,999,999,999,572,714,385,784,0,1,0
2025/05/23/15:20:18.480179,95,1748006418,479621648,,1000,139,577,45,91,24,225,120,59,1000,337,0,999,999,999,999,999,571,713,389,797,0,1,0
2025/05/23/15:20:18.490086,96,1748006418,489608287,,1000,139,591,45,92,25,230,117,59,1000,344,0,999,999,999,999,999,570,713,393,808,0,1,0
2025/05/23/15:20:18.500066,97,1748006418,499607801,,1000,139,603,45,94,25,235,115,60,1000,348,0,999,999,999,999,999,570,712,397,815,0,1,0
2025/05/23/15:20:18.509883,98,1748006418,509503126,,1000,139,614,45,96,25,243,116,60,1000,352,0,999,999,999,999,999,570,711,401,823,0,1,0
2025/05/23/15:20:18.519914,99,1748006418,519519329,,1000,138,626,45,98,25,252,117,61,1000,354,0,999,999,999,999,999,569,711,405,831,0,1,0
2025/05/23/15:20:18.530140,100,1748006418,529554843,,1000,138,634,45,100,26,257,117,62,1000,354,0,999,999,999,999,999,568,711,407,837,0,1,0
2025/05/23/15:20:18.540069,101,1748006418,539558410,,1000,138,641,45,102,26,263,117,62,1000,354,0,999,999,999,999,999,568,710,411,843,0,1,0
2025/05/23/15:20:18.550020,102,1748006418,549566268,,1000,138,649,45,104,26,269,116,63,1000,354,0,999,999,999,999,999,567,710,413,849,0,1,0
2025/05/23/15:20:18.559965,103,1748006418,559548139,,1000,138,655,45,107,27,275,116,63,1000,353,0,999,999,999,999,999,566,711,415,854,0,1,0
2025/05/23/15:20:18.570136,104,1748006418,569605588,,1000,138,659,45,109,27,281,117,64,1000,352,0,999,999,999,999,999,566,712,417,858,0,1,0
2025/05/23/15:20:18.580023,105,1748006418,579613685,,1000,138,662,45,111,27,286,116,65,1000,351,0,999,999,999,999,999,565,713,417,862,0,1,0
2025/05/23/15:20:18.589904,106,1748006418,589537858,,1000,138,663,45,113,27,290,115,66,1000,348,0,999,999,999,999,999,565,714,419,865,0,1,0
2025/05/23/15:20:18.599931,107,1748006418,599533557,,1000,138,663,45,113,27,290,115,66,1000,348,0,999,999,999,999,999,565,714,419,865,0,1,0
2025/05/23/15:20:18.609947,108,1748006418,609516382,,1000,138,654,45,115,28,298,117,68,1000,340,0,997,999,999,999,999,564,717,417,873,0,1,0
2025/05/23/15:20:18.619850,109,1748006418,619487285,,1000,138,644,45,116,29,301,117,69,1000,334,0,993,999,999,999,999,564,718,415,877,0,1,0
2025/05/23/15:20:18.629936,110,1748006418,629542350,,1000,138,644,45,116,29,301,117,69,1000,334,0,993,999,999,999,999,564,718,415,877,0,1,0
2025/05/23/15:20:18.640015,111,1748006418,639556646,,1000,138,623,46,117,30,302,113,74,1000,325,0,971,999,999,999,999,562,725,411,882,0,1,0
2025/05/23/15:20:18.649965,112,1748006418,649558305,,1000,138,614,46,118,31,307,118,75,1000,322,0,965,999,999,999,999,562,728,409,884,0,1,0
2025/05/23/15:20:18.659910,113,1748006418,659518241,,1000,138,605,47,118,32,311,119,77,1000,321,0,962,999,999,999,999,561,730,407,887,0,1,0
2025/05/23/15:20:18.669914,114,1748006418,669500350,,1000,138,598,47,117,33,311,116,78,1000,320,0,961,999,999,999,999,560,733,405,890,0,1,0
2025/05/23/15:20:18.680110,115,1748006418,679588794,,1000,138,584,48,117,34,314,117,79,1000,324,0,960,999,999,999,999,559,739,403,894,0,1,0
2025/05/23/15:20:18.689992,116,1748006418,689560890,,1000,138,578,48,116,35,314,115,79,1000,331,0,961,999,999,999,999,558,741,403,896,0,1,0
2025/05/23/15:20:18.720139,117,1748006418,719580650,,1000,138,565,48,116,36,317,115,78,1000,354,0,958,999,999,999,999,555,742,401,900,0,1,0
2025/05/23/15:20:18.729980,118,1748006418,729557275,,1000,138,560,48,116,36,318,115,78,1000,368,0,955,999,999,999,999,554,742,399,902,0,1,0
2025/05/23/15:20:18.739859,119,1748006418,739495515,,1000,138,555,48,116,37,324,118,78,1000,386,0,954,999,999,999,999,552,742,399,904,0,1,0
2025/05/23/15:20:18.750074,120,1748006418,749593973,,1000,138,553,48,116,37,328,117,78,1000,402,0,956,999,999,999,999,552,743,399,905,0,1,0
2025/05/23/15:20:18.759778,121,1748006418,759503602,,1000,138,551,48,115,37,331,115,78,1000,423,0,958,999,999,999,999,551,744,399,906,0,1,0
2025/05/23/15:20:19.420103,122,1748006419,419609069,,1000,141,987,53,967,370,946,88,901,1000,806,0,108,773,174,116,999,513,736,426,868,0,1,0
2025/05/23/15:20:19.430292,123,1748006419,429669141,,1000,141,987,54,968,377,947,90,920,1000,815,0,98,679,176,117,999,512,739,426,866,0,1,0
2025/05/23/15:20:19.440247,124,1748006419,439691066,,1000,140,987,54,968,381,947,89,935,1000,821,0,91,576,177,118,999,512,740,424,866,0,1,0
2025/05/23/15:20:19.450224,125,1748006419,449675321,,1000,140,988,54,969,384,947,88,950,1000,826,0,85,511,181,118,999,511,742,424,866,0,1,0
2025/05/23/15:20:19.459963,126,1748006419,459567308,,1000,140,989,55,969,386,948,89,964,1000,833,0,79,495,183,118,999,510,743,424,866,0,1,0
2025/05/23/15:20:19.470119,127,1748006419,469634771,,1000,140,990,55,970,387,949,90,976,1000,840,0,74,490,184,118,999,509,745,426,867,0,1,0
2025/05/23/15:20:19.480325,128,1748006419,479721069,,1000,140,990,55,970,387,949,92,986,1000,847,0,71,485,186,118,999,508,747,428,867,0,1,0
2025/05/23/15:20:19.490253,129,1748006419,489751815,,1000,140,990,55,970,387,949,92,986,1000,847,0,71,485,186,118,999,508,747,428,867,0,1,0
2025/05/23/15:20:19.500110,130,1748006419,499638319,,1000,140,992,57,971,388,949,94,1000,1000,860,0,64,471,197,118,999,506,751,432,866,0,1,0
2025/05/23/15:20:19.509949,131,1748006419,509596586,,1000,140,993,58,972,388,949,96,1000,1000,865,0,63,463,200,118,999,506,754,434,863,0,1,0
2025/05/23/15:20:19.519946,132,1748006419,519587278,,1000,140,994,60,973,388,949,97,1000,1000,871,0,63,454,205,118,999,505,756,436,862,0,1,0
2025/05/23/15:20:19.530113,133,1748006419,529684782,,1000,140,994,62,973,389,949,97,1000,1000,877,0,64,445,211,117,999,504,757,438,861,0,1,0
2025/05/23/15:20:19.539880,134,1748006419,539521455,,1000,141,995,65,974,391,949,97,1000,1000,884,0,64,442,220,115,999,502,759,438,860,0,1,0
2025/05/23/15:20:19.549955,135,1748006419,549574136,,1000,140,995,69,975,393,949,95,1000,1000,889,0,64,447,225,112,999,501,760,438,858,0,1,0
2025/05/23/15:20:19.559900,136,1748006419,559510231,,1000,141,995,73,975,397,950,95,1000,1000,893,0,63,450,227,110,999,500,761,438,858,0,1,0
