time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object
2025/05/23/16:04:30.628977,1,1748009070,628470420,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.638855,2,1748009070,638334751,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.648710,3,1748009070,648313522,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.658990,4,1748009070,658348560,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.668890,5,1748009070,668448209,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.678789,6,1748009070,678313016,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.688807,7,1748009070,688391923,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.698665,8,1748009070,698323249,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.708836,9,1748009070,708308935,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.718760,10,1748009070,718286991,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.728722,11,1748009070,728319644,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.738715,12,1748009070,738215446,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.748818,13,1748009070,748238086,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.758734,14,1748009070,758323907,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.768583,15,1748009070,768149852,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.778690,16,1748009070,778305768,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.788418,17,1748009070,788191318,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.798807,18,1748009070,798303127,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.808650,19,1748009070,808265686,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.819008,20,1748009070,818225145,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.828765,21,1748009070,828303813,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.838741,22,1748009070,838201761,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.848540,23,1748009070,848230361,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.858672,24,1748009070,858212471,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.868460,25,1748009070,868167877,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.878522,26,1748009070,878169775,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.888732,27,1748009070,888250350,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.898575,28,1748009070,898231744,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.908872,29,1748009070,908314943,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.918666,30,1748009070,918286323,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:30.928761,31,1748009070,928372621,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
