time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object
2025/05/23/15:22:06.308800,1,1748006526,308114290,,1000,123,196,51,116,51,166,97,123,1000,15,675,999,999,999,999,999,637,765,255,240,0,1
2025/05/23/15:22:06.318175,2,1748006526,317881107,,1000,121,186,50,109,47,159,94,117,1000,5,667,999,999,999,999,999,633,765,253,232,0,1
2025/05/23/15:22:06.328340,3,1748006526,327954769,,1000,121,186,50,109,47,158,94,117,1000,4,667,999,999,999,999,999,634,764,251,233,0,1
2025/05/23/15:22:06.338201,4,1748006526,337893962,,1000,121,186,50,109,47,157,93,117,1000,4,666,999,999,999,999,999,634,764,251,232,0,1
2025/05/23/15:22:06.348295,5,1748006526,347908973,,1000,121,186,50,109,47,157,93,117,1000,4,666,999,999,999,999,999,634,764,251,232,0,1
2025/05/23/15:22:06.358395,6,1748006526,357942104,,1000,121,186,50,109,47,157,93,117,1000,4,666,999,999,999,999,999,634,764,251,232,0,1
2025/05/23/15:22:06.368226,7,1748006526,367830276,,1000,121,186,50,109,47,158,94,117,1000,4,665,999,999,999,999,999,633,764,251,232,0,1
2025/05/23/15:22:06.378603,8,1748006526,378024339,,1000,121,186,50,109,47,158,93,117,1000,4,665,999,999,999,999,999,633,764,251,232,0,1
2025/05/23/15:22:06.388705,9,1748006526,387936115,,1000,121,186,50,109,47,157,93,117,1000,4,664,999,999,999,999,999,633,764,251,232,0,1
2025/05/23/15:22:06.398323,10,1748006526,397967100,,1000,121,186,50,109,47,158,93,117,1000,4,664,999,999,999,999,999,634,764,251,232,0,1
2025/05/23/15:22:06.408507,11,1748006526,407963037,,1000,121,185,50,109,47,158,94,117,1000,3,664,999,999,999,999,999,634,764,251,232,0,1
2025/05/23/15:22:06.418175,12,1748006526,417798519,,1000,121,186,50,109,47,159,95,117,1000,4,665,999,999,999,999,999,634,763,251,232,0,1
2025/05/23/15:22:06.428250,13,1748006526,427832365,,1000,121,185,50,109,47,159,96,117,1000,4,665,999,999,999,999,999,634,763,251,231,0,1
2025/05/23/15:22:06.438259,14,1748006526,437809228,,1000,121,185,50,109,47,160,97,116,1000,4,665,999,999,999,999,999,634,763,251,231,0,1
2025/05/23/15:22:06.448409,15,1748006526,447874784,,1000,121,185,50,109,47,160,97,116,1000,3,665,999,999,999,999,999,633,763,251,231,0,1
2025/05/23/15:22:06.458421,16,1748006526,457883358,,1000,121,185,50,109,47,160,97,116,1000,3,665,999,999,999,999,999,633,763,251,231,0,1
2025/05/23/15:22:06.468273,17,1748006526,467900753,,1000,121,185,50,109,47,160,97,116,1000,3,665,999,999,999,999,999,634,763,251,231,0,1
2025/05/23/15:22:06.478165,18,1748006526,477848291,,1000,121,185,50,108,47,161,97,116,1000,3,665,999,999,999,999,999,634,763,251,231,0,1
2025/05/23/15:22:06.488251,19,1748006526,487885236,,1000,121,185,50,108,47,160,97,116,1000,3,665,999,999,999,999,999,634,764,251,231,0,1
2025/05/23/15:22:06.498270,20,1748006526,497959136,,1000,121,185,50,108,47,160,96,116,1000,3,665,999,999,999,999,999,633,764,251,231,0,1
2025/05/23/15:22:06.508132,21,1748006526,507813692,,1000,121,185,50,108,47,160,97,116,1000,3,666,999,999,999,999,999,633,764,251,231,0,1
2025/05/23/15:22:06.518309,22,1748006526,517821073,,1000,121,185,50,108,47,160,97,116,1000,3,665,999,999,999,999,999,633,764,251,230,0,1
2025/05/23/15:22:06.528139,23,1748006526,527791500,,1000,121,185,50,108,47,160,97,116,1000,2,665,999,999,999,999,999,634,764,251,230,0,1
2025/05/23/15:22:06.538106,24,1748006526,537764549,,1000,121,185,50,108,47,160,97,116,1000,2,665,999,999,999,999,999,634,764,251,230,0,1
2025/05/23/15:22:06.548272,25,1748006526,547806978,,1000,121,185,50,108,47,161,98,116,1000,2,664,999,999,999,999,999,634,764,251,229,0,1
2025/05/23/15:22:06.558209,26,1748006526,557800769,,1000,121,184,50,108,47,161,98,116,1000,2,664,999,999,999,999,999,634,763,251,230,0,1
2025/05/23/15:22:06.568156,27,1748006526,567869424,,1000,121,184,50,108,46,160,97,116,1000,2,664,999,999,999,999,999,633,763,253,230,0,1
2025/05/23/15:22:06.578238,28,1748006526,577798843,,1000,121,184,50,108,46,159,95,116,1000,2,663,999,999,999,999,999,633,763,253,230,0,1
2025/05/23/15:22:06.588241,29,1748006526,587820053,,1000,121,184,50,108,46,157,94,116,1000,2,663,999,999,999,999,999,633,763,253,230,0,1
2025/05/23/15:22:06.598310,30,1748006526,597956895,,1000,121,184,50,108,46,157,94,116,1000,2,663,999,999,999,999,999,633,763,251,230,0,1
2025/05/23/15:22:06.608158,31,1748006526,607868909,,1000,121,184,50,108,46,157,94,116,1000,2,662,999,999,999,999,999,633,763,251,230,0,1
2025/05/23/15:22:06.618193,32,1748006526,617816686,,1000,121,184,50,108,46,157,94,116,1000,1,662,999,999,999,999,999,633,763,253,230,0,1
2025/05/23/15:22:06.628095,33,1748006526,627825736,,1000,121,184,50,108,46,156,93,116,1000,1,662,999,999,999,999,999,633,763,253,230,0,1
2025/05/23/15:22:06.638118,34,1748006526,637790679,,1000,121,184,50,108,46,156,92,115,1000,1,661,999,999,999,999,999,633,763,253,230,0,1
2025/05/23/15:22:06.648211,35,1748006526,647875070,,1000,121,184,50,107,46,155,92,115,1000,1,661,999,999,999,999,999,633,763,253,230,0,1
2025/05/23/15:22:06.658098,36,1748006526,657799959,,1000,121,184,50,107,46,155,92,115,1000,1,661,999,999,999,999,999,633,763,253,230,0,1
2025/05/23/15:22:06.668420,37,1748006526,667920351,,1000,121,184,50,107,46,155,91,115,1000,1,661,999,999,999,999,999,633,763,253,229,0,1
2025/05/23/15:22:06.678153,38,1748006526,677874088,,1000,121,184,50,107,46,155,92,115,1000,1,661,999,999,999,999,999,633,762,253,229,0,1
2025/05/23/15:22:06.688470,39,1748006526,688075304,,1000,121,184,50,107,46,155,92,115,1000,1,660,999,999,999,999,999,633,763,253,229,0,1
2025/05/23/15:22:06.698371,40,1748006526,697929620,,1000,121,184,50,107,46,155,92,115,1000,1,659,999,999,999,999,999,633,763,253,229,0,1
2025/05/23/15:22:06.708245,41,1748006526,707828044,,1000,121,184,50,107,46,155,91,115,1000,0,658,999,999,999,999,999,633,763,253,229,0,1
2025/05/23/15:22:06.718411,42,1748006526,717857837,,1000,121,184,50,107,46,155,91,115,1000,0,658,999,999,999,999,999,633,763,253,229,0,1
2025/05/23/15:22:06.728359,43,1748006526,727926492,,1000,121,184,50,107,46,155,91,115,1000,0,657,999,999,999,999,999,633,762,253,229,0,1
2025/05/23/15:22:06.738253,44,1748006526,737851858,,1000,121,184,50,107,46,155,91,115,1000,0,656,999,999,999,999,999,633,763,253,229,0,1
2025/05/23/15:22:06.748302,45,1748006526,747919321,,1000,121,184,50,107,46,155,91,115,1000,0,656,999,999,999,999,999,633,763,253,228,0,1
2025/05/23/15:22:06.758356,46,1748006526,757837533,,1000,121,183,50,107,46,155,91,115,1000,0,655,999,999,999,999,999,633,763,253,228,0,1
2025/05/23/15:22:06.768350,47,1748006526,767905712,,1000,121,183,50,107,46,154,91,115,1000,0,654,999,999,999,999,999,633,763,253,228,0,1
2025/05/23/15:22:06.778263,48,1748006526,777854919,,1000,121,183,50,107,46,154,92,115,1000,0,654,999,999,999,999,999,633,762,253,227,0,1
2025/05/23/15:22:06.788030,49,1748006526,787790536,,1000,121,184,50,107,46,155,92,115,1000,0,653,999,999,999,999,999,633,762,253,228,0,1
2025/05/23/15:22:06.798115,50,1748006526,797770977,,1000,121,183,50,107,46,156,93,115,1000,0,652,999,999,999,999,999,633,762,253,228,0,1
2025/05/23/15:22:06.808225,51,1748006526,807929039,,1000,121,183,50,107,46,156,93,115,1000,0,652,999,999,999,999,999,633,762,253,228,0,1
2025/05/23/15:22:06.818124,52,1748006526,817809581,,1000,121,183,50,107,46,155,93,115,1000,0,652,999,999,999,999,999,633,763,251,227,0,1
2025/05/23/15:22:06.828093,53,1748006526,827847480,,1000,121,183,50,107,46,155,92,115,1000,0,652,999,999,999,999,999,633,763,253,227,0,1
2025/05/23/15:22:06.838323,54,1748006526,837883234,,1000,121,183,50,107,46,155,93,115,1000,0,651,999,999,999,999,999,633,763,251,227,0,1
2025/05/23/15:22:06.868407,55,1748006526,867928028,,1000,121,183,50,107,46,155,92,115,1000,0,651,999,999,999,999,999,633,763,251,227,0,1
2025/05/23/15:22:06.878251,56,1748006526,877821922,,1000,121,183,50,107,46,155,92,114,1000,0,651,999,999,999,999,999,633,763,251,226,0,1
2025/05/23/15:22:06.888099,57,1748006526,887783050,,1000,121,183,50,106,46,155,92,115,1000,0,651,999,999,999,999,999,633,763,251,227,0,1
2025/05/23/15:22:06.898414,58,1748006526,897928953,,1000,121,183,50,107,46,155,92,114,1000,0,650,999,999,999,999,999,633,762,251,227,0,1
2025/05/23/15:22:06.908167,59,1748006526,907876491,,1000,121,183,50,107,46,155,92,114,1000,0,650,999,999,999,999,999,633,762,253,227,0,1
2025/05/23/15:22:07.278157,60,1748006527,277814626,,1000,122,173,46,98,36,150,90,98,1000,2,24,999,999,999,999,999,619,756,249,466,0,1
2025/05/23/15:22:07.288207,61,1748006527,287791013,,1000,122,172,46,97,36,150,90,98,1000,2,23,999,999,999,999,999,618,755,249,466,0,1
2025/05/23/15:22:07.298091,62,1748006527,297805547,,1000,122,172,46,97,36,149,90,98,1000,2,23,999,999,999,999,999,616,754,245,464,0,1
2025/05/23/15:22:07.308201,63,1748006527,307792663,,1000,122,171,46,97,36,150,90,98,1000,2,23,999,999,999,999,999,616,752,245,464,0,1
2025/05/23/15:22:07.318240,64,1748006527,317819118,,1000,122,171,46,97,36,149,89,98,1000,2,23,999,999,999,999,999,615,752,245,463,0,1
2025/05/23/15:22:07.328229,65,1748006527,327833652,,1000,122,171,45,96,36,149,89,97,1000,2,23,999,999,999,999,999,614,751,245,462,0,1
2025/05/23/15:22:07.338168,66,1748006527,337864637,,1000,121,171,45,96,35,149,89,97,1000,2,23,999,999,999,999,999,614,751,245,461,0,1
2025/05/23/15:22:07.348131,67,1748006527,347810745,,1000,121,170,45,96,35,150,89,97,1000,2,23,999,999,999,999,999,613,750,245,460,0,1
2025/05/23/15:22:07.358450,68,1748006527,357935190,,1000,121,170,45,96,35,150,90,97,1000,2,23,999,999,999,999,999,612,749,245,459,0,1
2025/05/23/15:22:07.368432,69,1748006527,367924213,,1000,121,170,45,96,35,150,89,97,1000,3,23,999,999,999,999,999,612,748,243,457,0,1
2025/05/23/15:22:07.378291,70,1748006527,377881288,,1000,121,170,45,96,35,149,88,97,1000,3,23,999,999,999,999,999,611,747,243,455,0,1
2025/05/23/15:22:07.388128,71,1748006527,387803792,,1000,121,169,45,95,35,148,87,96,1000,3,23,999,999,999,999,999,611,746,241,453,0,1
2025/05/23/15:22:07.398167,72,1748006527,397812366,,1000,121,169,45,95,35,147,85,96,1000,3,23,999,999,999,999,999,610,745,241,451,0,1
2025/05/23/15:22:07.408195,73,1748006527,407835960,,1000,121,169,45,95,34,147,85,96,1000,3,24,999,999,999,999,999,609,744,239,449,0,1
2025/05/23/15:22:07.418256,74,1748006527,417843103,,1000,121,168,45,95,34,147,85,96,1000,3,24,999,999,999,999,999,608,742,239,447,0,1
2025/05/23/15:22:07.428097,75,1748006527,427822113,,1000,121,168,45,95,34,147,85,96,1000,3,24,999,999,999,999,999,608,742,239,446,0,1
2025/05/23/15:22:07.438148,76,1748006527,437819242,,1000,121,168,45,95,34,148,85,96,1000,3,23,999,999,999,999,999,607,741,237,445,0,1
