time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object,stiffness
2025/05/23/16:51:07.442399,1,1748011867,441810846,,1000,783,775,324,503,549,542,227,129,1000,257,0,868,999,999,999,999,273,515,136,69,0,1,0
2025/05/23/16:51:07.452365,2,1748011867,451785564,,1000,781,775,324,503,549,542,226,130,1000,256,0,869,999,999,999,999,274,515,136,68,0,1,0
2025/05/23/16:51:07.462064,3,1748011867,461734771,,1000,713,765,297,504,548,539,222,129,1000,161,0,878,999,999,999,999,301,506,138,43,0,1,0
2025/05/23/16:51:07.472127,4,1748011867,471670866,,1000,713,765,296,504,548,539,222,129,1000,160,0,878,999,999,999,999,301,506,138,43,0,1,0
2025/05/23/16:51:07.482307,5,1748011867,481789588,,1000,713,765,296,504,548,539,222,129,1000,160,0,876,999,999,999,999,302,506,138,43,0,1,0
2025/05/23/16:51:07.492155,6,1748011867,491783142,,1000,713,765,296,504,548,539,222,129,1000,160,0,874,999,999,999,999,302,508,138,43,0,1,0
2025/05/23/16:51:07.502246,7,1748011867,501781702,,1000,713,765,296,504,547,539,222,129,1000,159,0,873,999,999,999,999,302,508,138,42,0,1,0
2025/05/23/16:51:07.512135,8,1748011867,511775255,,1000,713,765,296,504,547,539,222,129,1000,159,0,873,999,999,999,999,302,508,138,42,0,1,0
2025/05/23/16:51:07.522145,9,1748011867,521791458,,1000,712,765,295,505,547,539,222,129,1000,158,0,876,999,999,999,999,302,506,138,42,0,1,0
2025/05/23/16:51:07.532546,10,1748011867,532067775,,1000,712,765,295,504,547,539,222,129,1000,157,0,875,999,999,999,999,302,506,138,42,0,1,0
2025/05/23/16:51:07.542213,11,1748011867,541826486,,1000,712,765,295,504,547,539,222,129,1000,157,0,873,999,999,999,999,303,506,138,42,0,1,0
2025/05/23/16:51:07.552118,12,1748011867,551723957,,1000,712,765,295,504,547,539,222,129,1000,156,0,872,999,999,999,999,303,506,138,42,0,1,0
2025/05/23/16:51:07.562049,13,1748011867,561696767,,1000,712,765,295,504,547,539,222,129,1000,155,0,873,999,999,999,999,304,506,138,42,0,1,0
2025/05/23/16:51:07.572193,14,1748011867,571761369,,1000,712,765,295,504,547,539,222,129,1000,155,0,873,999,999,999,999,304,506,138,42,0,1,0
2025/05/23/16:51:07.582427,15,1748011867,581791639,,1000,711,765,294,504,547,539,222,129,1000,154,0,873,999,999,999,999,304,506,138,42,0,1,0
2025/05/23/16:51:07.592120,16,1748011867,591724634,,1000,711,765,294,505,547,539,222,129,1000,154,0,873,999,999,999,999,305,506,138,42,0,1,0
2025/05/23/16:51:07.601947,17,1748011867,601657629,,1000,711,765,294,505,547,539,222,129,1000,152,0,873,999,999,999,999,305,506,140,42,0,1,0
2025/05/23/16:51:07.612221,18,1748011867,611730337,,1000,710,765,294,505,547,539,222,129,1000,151,0,872,999,999,999,999,305,506,138,41,0,1,0
2025/05/23/16:51:07.622099,19,1748011867,621792554,,1000,709,765,294,505,547,539,222,129,1000,151,0,872,999,999,999,999,306,505,138,41,0,1,0
2025/05/23/16:51:07.632056,20,1748011867,631676435,,1000,709,765,294,504,546,539,222,129,1000,150,0,871,999,999,999,999,306,506,140,41,0,1,0
2025/05/23/16:51:07.641961,21,1748011867,641689300,,1000,709,765,294,504,546,538,222,129,1000,150,0,871,999,999,999,999,306,505,140,41,0,1,0
