time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object
2025/05/23/16:04:18.075392,1,1748009058,74587583,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.084929,2,1748009058,84418296,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.094883,3,1748009058,94502925,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.104970,4,1748009058,104567050,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.114912,5,1748009058,114518880,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.124923,6,1748009058,124436140,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.135001,7,1748009058,134485960,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.144918,8,1748009058,144466161,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.155102,9,1748009058,154473543,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.164908,10,1748009058,164497137,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.174767,11,1748009058,174401760,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.184751,12,1748009058,184435129,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.194907,13,1748009058,194392204,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.204916,14,1748009058,204427719,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.214825,15,1748009058,214412450,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.224936,16,1748009058,224411249,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.235040,17,1748009058,234417676,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.245052,18,1748009058,244440317,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.254887,19,1748009058,254408597,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.264892,20,1748009058,264401435,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.274968,21,1748009058,274389266,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.284937,22,1748009058,284439086,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.295028,23,1748009058,294442415,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
2025/05/23/16:04:18.304836,24,1748009058,304457664,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,0,1
