time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object
2025/05/23/16:33:31.661196,1,1748010811,660796403,,1000,159,315,38,176,17,170,0,148,1000,15,0,949,999,999,999,999,501,612,159,0,0,0
2025/05/23/16:33:31.671352,2,1748010811,670876741,,1000,160,312,38,173,19,170,0,143,1000,5,0,942,999,999,999,999,487,591,152,0,0,0
2025/05/23/16:33:31.681314,3,1748010811,680817127,,1000,160,312,38,173,20,170,0,143,1000,5,0,942,999,999,999,999,487,591,152,0,0,0
2025/05/23/16:33:31.691390,4,1748010811,690785884,,1000,160,312,38,173,20,170,0,143,1000,4,0,940,999,999,999,999,487,591,152,0,0,0
2025/05/23/16:33:31.701131,5,1748010811,700751781,,1000,160,312,38,173,20,170,0,143,1000,4,0,936,999,999,999,999,487,591,153,0,0,0
2025/05/23/16:33:31.711329,6,1748010811,710839271,,1000,160,311,38,173,20,170,0,143,1000,4,0,934,999,999,999,999,487,591,153,0,0,0
2025/05/23/16:33:31.721202,7,1748010811,720805644,,1000,160,311,38,173,20,170,0,143,1000,4,0,934,999,999,999,999,487,591,152,0,0,0
2025/05/23/16:33:31.731065,8,1748010811,730654239,,1000,160,311,38,173,20,170,0,143,1000,4,0,932,999,999,999,999,487,591,152,0,0,0
2025/05/23/16:33:31.741290,9,1748010811,740852594,,1000,160,311,38,173,20,170,0,143,1000,4,0,930,999,999,999,999,487,592,152,0,0,0
2025/05/23/16:33:31.751212,10,1748010811,750848531,,1000,160,311,38,173,20,170,0,143,1000,4,0,930,999,999,999,999,487,592,152,0,0,0
2025/05/23/16:33:31.761616,11,1748010811,760969161,,1000,160,311,38,173,20,170,0,143,1000,4,0,933,999,999,999,999,487,591,152,0,0,0
2025/05/23/16:33:31.770932,12,1748010811,770639896,,1000,160,312,38,173,20,170,0,143,1000,4,0,935,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.780963,13,1748010811,780634641,,1000,160,312,38,173,20,170,0,142,1000,4,0,936,999,999,999,999,487,591,152,0,0,0
2025/05/23/16:33:31.790985,14,1748010811,790678262,,1000,160,312,38,173,20,170,0,142,1000,4,0,938,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.800943,15,1748010811,800623416,,1000,160,312,38,173,20,170,0,142,1000,3,0,938,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.811038,16,1748010811,810676813,,1000,160,312,38,173,20,170,0,142,1000,3,0,937,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.821064,17,1748010811,820660829,,1000,160,312,38,173,20,170,0,142,1000,3,0,938,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.831089,18,1748010811,830693721,,1000,160,312,38,173,20,170,0,142,1000,3,0,939,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.841057,19,1748010811,840661764,,1000,160,312,38,173,20,170,0,142,1000,3,0,940,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.850992,20,1748010811,850648641,,1000,160,312,38,172,20,170,0,142,1000,3,0,940,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.861073,21,1748010811,860693693,,1000,160,312,38,173,20,170,0,142,1000,3,0,941,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.870912,22,1748010811,870642662,,1000,160,312,38,172,20,170,0,142,1000,3,0,940,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.880985,23,1748010811,880661249,,1000,160,312,38,172,20,170,0,142,1000,3,0,937,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.890975,24,1748010811,890654802,,1000,160,312,38,172,20,170,0,142,1000,2,0,935,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.900983,25,1748010811,900651693,,1000,160,312,38,172,20,170,0,142,1000,2,0,932,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.911208,26,1748010811,910835027,,1000,160,312,38,172,20,170,0,142,1000,2,0,931,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.920994,27,1748010811,920773267,,1000,159,312,38,172,20,170,0,142,1000,2,0,932,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.930879,28,1748010811,930653095,,1000,159,312,38,172,20,170,0,142,1000,2,0,932,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.940866,29,1748010811,940618991,,1000,160,312,38,172,20,170,0,142,1000,2,0,931,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.951090,30,1748010811,950763225,,1000,160,312,38,172,20,170,0,142,1000,2,0,932,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.961004,31,1748010811,960667371,,1000,160,312,38,172,20,170,0,142,1000,2,0,933,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.970863,32,1748010811,970641613,,1000,160,312,38,172,20,170,0,142,1000,2,0,935,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.980950,33,1748010811,980661153,,1000,160,313,38,172,20,170,0,142,1000,2,0,938,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:31.991153,34,1748010811,990745306,,1000,160,312,38,172,20,170,0,142,1000,2,0,940,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:32.000942,35,1748010812,657081,,1000,160,312,38,172,20,170,0,142,1000,2,0,940,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:32.011105,36,1748010812,10704040,,1000,159,312,38,172,20,170,0,142,1000,1,0,940,999,999,999,999,486,591,150,0,0,0
2025/05/23/16:33:32.020943,37,1748010812,20641326,,1000,160,312,38,172,20,170,0,141,1000,1,0,939,999,999,999,999,486,591,150,0,0,0
2025/05/23/16:33:32.030986,38,1748010812,30639171,,1000,159,312,38,172,20,170,0,141,1000,1,0,939,999,999,999,999,486,591,152,0,0,0
2025/05/23/16:33:32.040974,39,1748010812,40681123,,1000,160,312,38,172,20,170,0,141,1000,1,0,939,999,999,999,999,486,591,150,0,0,0
2025/05/23/16:33:32.050980,40,1748010812,50642251,,1000,160,312,38,172,20,170,0,141,1000,1,0,939,999,999,999,999,486,591,150,0,0,0
2025/05/23/16:33:32.060971,41,1748010812,60667991,,1000,160,311,38,172,20,170,0,141,1000,0,0,939,999,999,999,999,486,592,152,0,0,0
2025/05/23/16:33:32.070906,42,1748010812,70625305,,1000,160,311,38,172,20,170,0,141,1000,0,0,940,999,999,999,999,486,592,152,0,0,0
2025/05/23/16:33:32.081025,43,1748010812,80636501,,1000,160,311,38,172,20,170,0,141,1000,0,0,940,999,999,999,999,486,593,152,0,0,0
2025/05/23/16:33:32.090919,44,1748010812,90612411,,1000,160,311,38,172,20,170,0,141,1000,0,0,940,999,999,999,999,486,593,150,0,0,0
2025/05/23/16:33:32.100947,45,1748010812,100631475,,1000,160,310,38,173,20,170,0,141,1000,0,0,939,999,999,999,999,486,594,150,0,0,0
2025/05/23/16:33:32.110935,46,1748010812,110645055,,1000,160,310,38,173,20,170,0,141,1000,0,0,939,999,999,999,999,486,594,150,0,0,0
2025/05/23/16:33:32.120890,47,1748010812,120658159,,1000,160,310,38,173,20,170,0,141,1000,0,0,939,999,999,999,999,486,594,152,0,0,0
2025/05/23/16:33:32.131000,48,1748010812,130671977,,1000,159,310,38,173,20,170,0,141,1000,0,0,940,999,999,999,999,486,594,152,0,0,0
