time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object
2025/05/23/15:19:50.669291,1,1748006390,668713808,,1000,176,469,59,89,44,99,37,89,1000,80,941,999,999,999,999,999,687,703,440,498,0,1
2025/05/23/15:19:50.679014,2,1748006390,678637504,,1000,174,184,61,80,42,92,35,89,1000,55,948,987,999,999,999,999,689,744,419,453,0,1
2025/05/23/15:19:50.689351,3,1748006390,688910961,,1000,174,183,61,80,42,92,35,88,1000,54,947,988,999,999,999,999,689,745,419,451,0,1
2025/05/23/15:19:50.699165,4,1748006390,698708057,,1000,174,182,61,80,41,92,35,88,1000,54,946,988,999,999,999,999,689,745,417,449,0,1
2025/05/23/15:19:50.709505,5,1748006390,708575487,,1000,174,181,61,80,41,92,35,88,1000,53,944,987,999,999,999,999,689,744,417,447,0,1
2025/05/23/15:19:50.719052,6,1748006390,718598127,,1000,174,181,61,80,41,92,35,88,1000,53,943,988,999,999,999,999,688,744,417,446,0,1
2025/05/23/15:19:50.729150,7,1748006390,728674411,,1000,174,180,61,79,41,91,35,88,1000,53,940,989,999,999,999,999,688,744,415,445,0,1
2025/05/23/15:19:50.738928,8,1748006390,738558530,,1000,174,180,61,79,41,91,35,88,1000,52,938,991,999,999,999,999,689,744,415,445,0,1
2025/05/23/15:19:50.749167,9,1748006390,748790502,,1000,174,179,60,79,41,91,35,88,1000,51,937,994,999,999,999,999,689,743,415,444,0,1
2025/05/23/15:19:50.758867,10,1748006390,758530855,,1000,174,179,60,79,41,91,35,88,1000,51,937,994,999,999,999,999,689,743,415,444,0,1
2025/05/23/15:19:50.774590,11,1748006390,773104429,,1000,174,177,60,79,41,91,35,87,1000,51,938,999,999,999,999,999,689,742,415,440,0,1
