time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object
2025/05/23/16:02:38.393716,1,1748008958,393178224,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.403571,2,1748008958,403166294,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.413944,3,1748008958,413270473,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.423633,4,1748008958,423165798,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.433519,5,1748008958,433175086,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.443465,6,1748008958,443166494,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.453654,7,1748008958,453178644,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.463652,8,1748008958,463227987,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.473603,9,1748008958,473176002,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.483660,10,1748008958,483256101,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.493541,11,1748008958,493181228,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.503624,12,1748008958,503106117,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.513522,13,1748008958,513149261,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.523517,14,1748008958,523123502,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.533639,15,1748008958,533201456,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.543467,16,1748008958,543083429,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.553530,17,1748008958,553201198,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.563619,18,1748008958,563294410,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.573591,19,1748008958,573213100,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.583456,20,1748008958,583109855,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.593443,21,1748008958,593134403,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.603335,22,1748008958,603073358,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.613359,23,1748008958,613055706,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.623379,24,1748008958,623073339,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.633591,25,1748008958,633138656,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.643552,26,1748008958,643091917,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.653425,27,1748008958,653071641,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.663431,28,1748008958,663111448,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.673347,29,1748008958,673066139,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.683637,30,1748008958,683084964,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.693453,31,1748008958,693135499,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.703653,32,1748008958,703141212,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.713561,33,1748008958,713103055,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.723613,34,1748008958,723077297,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.733451,35,1748008958,733084917,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.743451,36,1748008958,743086338,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.753363,37,1748008958,753087282,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.763454,38,1748008958,763054132,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.773422,39,1748008958,773125410,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.783569,40,1748008958,783153057,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.793393,41,1748008958,793084859,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.803470,42,1748008958,803093671,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.813440,43,1748008958,813103675,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.823379,44,1748008958,823042869,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.833701,45,1748008958,833226919,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.843375,46,1748008958,843050003,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.853398,47,1748008958,853050947,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.863469,48,1748008958,863088846,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.873632,49,1748008958,873221397,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.883402,50,1748008958,883069038,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.893393,51,1748008958,893067359,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.903459,52,1748008958,903090238,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.913363,53,1748008958,913064241,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.923505,54,1748008958,923113822,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.953595,55,1748008958,953147411,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.963403,56,1748008958,963088989,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.973557,57,1748008958,973134279,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.983707,58,1748008958,983189344,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:38.993412,59,1748008958,993072986,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:39.623443,60,1748008959,623088359,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:39.633383,61,1748008959,633118867,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:39.643649,62,1748008959,643154144,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:39.653362,63,1748008959,653093576,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:39.663369,64,1748008959,663095712,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:39.673398,65,1748008959,673089027,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:39.683624,66,1748008959,683167219,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:39.693476,67,1748008959,693152666,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:39.703650,68,1748008959,703165531,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:39.713461,69,1748008959,713137388,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:39.723455,70,1748008959,723128080,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
2025/05/23/16:02:39.733490,71,1748008959,733182430,,1000,440,624,146,371,288,524,84,242,1000,14,33,935,999,999,999,999,475,443,72,0,1,0
